identifier,authoritativeMN,dateUploaded
knb-lter-vcr.219.3,urn:node:LTER,2014-03-06T00:00:00Z
knb-lter-arc.10526.2,urn:node:LTER,2014-02-04T00:00:00Z
knb-lter-arc.10523.2,urn:node:LTER,2014-02-04T00:00:00Z
knb-lter-gce.451.20,urn:node:LTER,2014-04-30T23:00:00Z
knb-lter-vcr.232.2,urn:node:LTER,2014-04-11T23:00:00Z
knb-lter-vcr.228.8,urn:node:LTER,2014-04-04T23:00:00Z
knb-lter-vcr.222.8,urn:node:LTER,2014-01-14T00:00:00Z
knb-lter-vcr.230.2,urn:node:LTER,2014-03-30T23:00:00Z
knb-lter-pie.323.1,urn:node:LTER,2014-04-03T23:00:00Z
knb-lter-pie.324.1,urn:node:LTER,2014-04-03T23:00:00Z
knb-lter-gce.449.2,urn:node:LTER,2014-04-30T23:00:00Z
knb-lter-gce.448.2,urn:node:LTER,2014-04-30T23:00:00Z
knb-lter-gce.443.2,urn:node:LTER,2014-04-30T23:00:00Z
knb-lter-gce.444.2,urn:node:LTER,2014-04-30T23:00:00Z
knb-lter-arc.10529.1,urn:node:LTER,2014-03-29T23:00:00Z
knb-lter-kbs.133.1,urn:node:LTER,2014-05-23T23:00:00Z
knb-lter-and.5319.3,urn:node:LTER,2014-05-28T23:00:00Z
knb-lter-pie.312.1,urn:node:LTER,2014-03-27T23:00:00Z
knb-lter-pie.308.1,urn:node:LTER,2014-03-27T23:00:00Z
knb-lter-arc.10501.3,urn:node:LTER,2014-01-14T00:00:00Z
knb-lter-arc.10506.2,urn:node:LTER,2014-01-22T00:00:00Z
knb-lter-pie.313.1,urn:node:LTER,2014-03-27T23:00:00Z
knb-lter-pie.317.1,urn:node:LTER,2014-03-27T23:00:00Z
knb-lter-pie.318.1,urn:node:LTER,2014-03-27T23:00:00Z
knb-lter-pie.326.1,urn:node:LTER,2014-03-27T23:00:00Z
knb-lter-pie.339.1,urn:node:LTER,2014-03-27T23:00:00Z
knb-lter-pie.333.1,urn:node:LTER,2014-03-27T23:00:00Z
knb-lter-pie.340.1,urn:node:LTER,2014-03-27T23:00:00Z
knb-lter-pie.334.1,urn:node:LTER,2014-03-27T23:00:00Z
knb-lter-pie.330.1,urn:node:LTER,2014-03-27T23:00:00Z
knb-lter-pie.342.1,urn:node:LTER,2014-03-27T23:00:00Z
knb-lter-vcr.227.3,urn:node:LTER,2014-03-06T00:00:00Z
knb-lter-fce.1181.3,urn:node:LTER,2014-03-07T00:00:00Z
knb-lter-fce.1179.4,urn:node:LTER,2014-03-07T00:00:00Z
knb-lter-fce.1180.4,urn:node:LTER,2014-03-07T00:00:00Z
knb-lter-pie.295.2,urn:node:LTER,2014-03-27T23:00:00Z
knb-lter-pie.303.1,urn:node:LTER,2014-03-27T23:00:00Z
knb-lter-vcr.226.2,urn:node:LTER,2014-03-06T00:00:00Z
knb-lter-pie.307.1,urn:node:LTER,2014-03-27T23:00:00Z
knb-lter-pie.314.1,urn:node:LTER,2014-03-27T23:00:00Z
knb-lter-bnz.542.3,urn:node:LTER,2014-06-17T23:00:00Z
knb-lter-bnz.543.3,urn:node:LTER,2014-06-17T23:00:00Z
knb-lter-arc.20001.2,urn:node:LTER,2014-10-24T23:00:00Z
knb-lter-arc.20015.4,urn:node:LTER,2014-10-23T23:00:00Z
knb-lter-arc.20000.2,urn:node:LTER,2014-10-24T23:00:00Z
knb-lter-arc.20032.1,urn:node:LTER,2014-10-24T23:00:00Z
knb-lter-cap.613.4,urn:node:LTER,2014-07-19T23:00:00Z
knb-lter-arc.20019.1,urn:node:LTER,2014-10-23T23:00:00Z
knb-lter-arc.20022.1,urn:node:LTER,2014-10-23T23:00:00Z
knb-lter-arc.20028.1,urn:node:LTER,2014-10-23T23:00:00Z
knb-lter-arc.20031.1,urn:node:LTER,2014-10-23T23:00:00Z
knb-lter-arc.20003.2,urn:node:LTER,2014-10-23T23:00:00Z
knb-lter-arc.10531.2,urn:node:LTER,2014-10-24T23:00:00Z
knb-lter-bnz.571.4,urn:node:LTER,2014-06-17T23:00:00Z
knb-lter-and.5331.1,urn:node:LTER,2014-11-25T00:00:00Z
knb-lter-and.5345.2,urn:node:LTER,2014-11-25T00:00:00Z
knb-lter-arc.20002.1,urn:node:LTER,2014-10-23T23:00:00Z
knb-lter-arc.20017.1,urn:node:LTER,2014-10-23T23:00:00Z
knb-lter-arc.20010.1,urn:node:LTER,2014-10-23T23:00:00Z
knb-lter-arc.20018.2,urn:node:LTER,2014-10-23T23:00:00Z
knb-lter-bnz.582.6,urn:node:LTER,2014-11-12T00:00:00Z
knb-lter-gce.457.8,urn:node:LTER,2014-05-19T23:00:00Z
knb-lter-fce.1187.3,urn:node:LTER,2014-04-16T23:00:00Z
knb-lter-fce.1188.3,urn:node:LTER,2014-04-16T23:00:00Z
knb-lter-fce.1191.3,urn:node:LTER,2014-06-25T23:00:00Z
knb-lter-fce.1196.3,urn:node:LTER,2014-12-12T00:00:00Z
knb-lter-vcr.229.6,urn:node:LTER,2014-04-11T23:00:00Z
knb-lter-mcr.5011.1,urn:node:LTER,2014-06-12T23:00:00Z
knb-lter-bnz.536.4,urn:node:LTER,2014-06-17T23:00:00Z
knb-lter-bnz.535.4,urn:node:LTER,2014-06-17T23:00:00Z
knb-lter-bnz.538.4,urn:node:LTER,2014-06-17T23:00:00Z
knb-lter-bnz.514.6,urn:node:LTER,2014-06-17T23:00:00Z
knb-lter-bnz.515.6,urn:node:LTER,2014-06-17T23:00:00Z
knb-lter-bnz.576.2,urn:node:LTER,2014-06-17T23:00:00Z
knb-lter-bnz.565.4,urn:node:LTER,2014-06-17T23:00:00Z
knb-lter-bnz.507.6,urn:node:LTER,2014-06-17T23:00:00Z
knb-lter-bnz.561.3,urn:node:LTER,2014-06-17T23:00:00Z
knb-lter-bnz.563.3,urn:node:LTER,2014-06-17T23:00:00Z
knb-lter-bnz.549.3,urn:node:LTER,2014-06-17T23:00:00Z
knb-lter-bnz.547.3,urn:node:LTER,2014-06-17T23:00:00Z
knb-lter-bnz.554.3,urn:node:LTER,2014-06-17T23:00:00Z
knb-lter-bnz.552.4,urn:node:LTER,2014-06-17T23:00:00Z
knb-lter-bnz.550.4,urn:node:LTER,2014-06-17T23:00:00Z
knb-lter-ntl.290.2,urn:node:LTER,2014-01-04T00:00:00Z
knb-lter-ntl.289.4,urn:node:LTER,2014-01-04T00:00:00Z
knb-lter-arc.10507.1,urn:node:LTER,2014-01-22T00:00:00Z
knb-lter-arc.10504.2,urn:node:LTER,2014-01-14T00:00:00Z
knb-lter-arc.10502.2,urn:node:LTER,2014-01-14T00:00:00Z
knb-lter-arc.10508.1,urn:node:LTER,2014-01-25T00:00:00Z
knb-lter-arc.10516.2,urn:node:LTER,2014-01-22T00:00:00Z
knb-lter-arc.10512.2,urn:node:LTER,2014-01-22T00:00:00Z
knb-lter-arc.10513.2,urn:node:LTER,2014-01-22T00:00:00Z
knb-lter-arc.10517.2,urn:node:LTER,2014-01-22T00:00:00Z
