identifier,authoritativeMN,dateUploaded
knb-lter-hfr.198.4,urn:node:LTER,2012-02-10T00:00:00Z
knb-lter-vcr.188.13,urn:node:LTER,2012-02-03T00:00:00Z
knb-lter-mcr.1037.4,urn:node:LTER,2012-03-14T23:00:00Z
knb-lter-sev.278.52339,urn:node:LTER,2012-04-14T23:00:00Z
knb-lter-sev.258.29267,urn:node:LTER,2012-02-10T00:00:00Z
knb-lter-vcr.205.11,urn:node:LTER,2012-03-18T23:00:00Z
knb-lter-vcr.202.9,urn:node:LTER,2012-02-16T00:00:00Z
knb-lter-cap.571.6,urn:node:LTER,2012-05-30T23:00:00Z
knb-lter-cap.100.8,urn:node:LTER,2012-04-11T23:00:00Z
knb-lter-fce.502.2,urn:node:LTER,2012-04-08T23:00:00Z
knb-lter-fce.503.2,urn:node:LTER,2012-04-08T23:00:00Z
knb-lter-fce.501.2,urn:node:LTER,2012-04-08T23:00:00Z
knb-lter-bes.590.120,urn:node:LTER,2012-04-08T23:00:00Z
knb-lter-bes.592.120,urn:node:LTER,2012-04-08T23:00:00Z
knb-lter-bes.593.120,urn:node:LTER,2012-04-08T23:00:00Z
knb-lter-bes.594.120,urn:node:LTER,2012-04-08T23:00:00Z
knb-lter-fce.504.2,urn:node:LTER,2012-04-08T23:00:00Z
knb-lter-fce.509.2,urn:node:LTER,2012-04-08T23:00:00Z
knb-lter-bes.597.120,urn:node:LTER,2012-04-08T23:00:00Z
knb-lter-and.4550.3,urn:node:LTER,2012-07-20T23:00:00Z
knb-lter-sev.250.87016,urn:node:LTER,2012-01-20T00:00:00Z
knb-lter-sev.270.50818,urn:node:LTER,2012-04-14T23:00:00Z
knb-lter-vcr.199.12,urn:node:LTER,2012-02-05T00:00:00Z
knb-lter-vcr.198.15,urn:node:LTER,2012-02-03T00:00:00Z
knb-lter-sev.275.310673,urn:node:LTER,2012-04-14T23:00:00Z
knb-lter-vcr.192.11,urn:node:LTER,2012-02-15T00:00:00Z
knb-lter-pie.201.3,urn:node:LTER,2012-01-31T00:00:00Z
knb-lter-vcr.157.21,urn:node:LTER,2012-02-12T00:00:00Z
knb-lter-pie.228.2,urn:node:LTER,2012-06-29T23:00:00Z
knb-lter-pie.230.2,urn:node:LTER,2012-06-29T23:00:00Z
knb-lter-bnz.482.9,urn:node:LTER,2012-11-17T00:00:00Z
knb-lter-bnz.484.10,urn:node:LTER,2012-11-14T00:00:00Z
knb-lter-bnz.485.10,urn:node:LTER,2012-11-14T00:00:00Z
knb-lter-bnz.486.10,urn:node:LTER,2012-11-13T00:00:00Z
knb-lter-arc.10140.5,urn:node:LTER,2012-12-08T00:00:00Z
knb-lter-arc.10143.5,urn:node:LTER,2012-12-08T00:00:00Z
knb-lter-ntl.273.10,urn:node:LTER,2012-07-31T23:00:00Z
knb-lter-vcr.195.12,urn:node:LTER,2012-02-05T00:00:00Z
knb-lter-arc.10135.3,urn:node:LTER,2012-12-08T00:00:00Z
knb-lter-arc.10136.3,urn:node:LTER,2012-12-08T00:00:00Z
knb-lter-bes.609.130,urn:node:LTER,2012-05-16T23:00:00Z
knb-lter-sev.253.37938,urn:node:LTER,2012-01-19T00:00:00Z
knb-lter-vcr.193.10,urn:node:LTER,2012-01-17T00:00:00Z
knb-lter-sev.262.71881,urn:node:LTER,2012-04-14T23:00:00Z
knb-lter-sev.23.30218,urn:node:LTER,2012-07-24T23:00:00Z
knb-lter-arc.10137.3,urn:node:LTER,2012-12-08T00:00:00Z
knb-lter-mcm.7017.4,urn:node:LTER,2012-11-16T00:00:00Z
knb-lter-arc.10131.4,urn:node:LTER,2012-02-05T00:00:00Z
knb-lter-arc.10130.4,urn:node:LTER,2012-01-25T00:00:00Z
knb-lter-arc.10129.4,urn:node:LTER,2012-01-25T00:00:00Z
knb-lter-mcr.7006.1,urn:node:LTER,2012-11-02T23:00:00Z
knb-lter-sgs.131.12,urn:node:LTER,2012-09-07T23:00:00Z
knb-lter-ntl.268.3,urn:node:LTER,2012-10-01T23:00:00Z
knb-lter-vcr.184.12,urn:node:LTER,2012-02-03T00:00:00Z
knb-lter-hfr.193.5,urn:node:LTER,2012-02-25T00:00:00Z
knb-lter-hfr.205.7,urn:node:LTER,2012-12-01T00:00:00Z
knb-lter-ntl.199.2,urn:node:LTER,2012-08-07T23:00:00Z
knb-lter-nin.2.1,urn:node:LTER,2012-07-12T23:00:00Z
knb-lter-ntl.267.7,urn:node:LTER,2012-07-27T23:00:00Z
knb-lter-ntl.80.2,urn:node:LTER,2012-08-03T23:00:00Z
doi:10.6073/AA/knb-lter-cdr.87052.123,urn:node:LTER,2012-03-03T00:00:00Z
doi:10.6073/AA/knb-lter-cdr.88091.123,urn:node:LTER,2012-03-03T00:00:00Z
doi:10.6073/AA/knb-lter-cdr.87085.123,urn:node:LTER,2012-03-07T00:00:00Z
knb-lter-sev.279.37859,urn:node:LTER,2012-07-24T23:00:00Z
doi:10.6073/AA/knb-lter-cdr.92052.123,urn:node:LTER,2012-03-03T00:00:00Z
doi:10.6073/AA/knb-lter-cdr.93064.123,urn:node:LTER,2012-03-03T00:00:00Z
doi:10.6073/AA/knb-lter-cdr.98003.123,urn:node:LTER,2012-03-03T00:00:00Z
doi:10.6073/AA/knb-lter-cdr.9052.123,urn:node:LTER,2012-03-03T00:00:00Z
doi:10.6073/AA/knb-lter-cdr.70071.123,urn:node:LTER,2012-03-03T00:00:00Z
doi:10.6073/AA/knb-lter-cdr.36003.123,urn:node:LTER,2012-03-03T00:00:00Z
doi:10.6073/AA/knb-lter-nin.1.2,urn:node:LTER,2012-06-12T23:00:00Z
doi:10.6073/AA/knb-lter-cdr.100042.123,urn:node:LTER,2012-03-03T00:00:00Z
doi:10.6073/AA/knb-lter-cdr.100064.123,urn:node:LTER,2012-03-16T23:00:00Z
doi:10.6073/AA/knb-lter-cdr.104070.123,urn:node:LTER,2012-03-03T00:00:00Z
doi:10.6073/AA/knb-lter-cdr.157097.123,urn:node:LTER,2012-03-12T23:00:00Z
doi:10.6073/AA/knb-lter-cdr.162141.123,urn:node:LTER,2012-03-03T00:00:00Z
doi:10.6073/AA/knb-lter-cdr.177002.123,urn:node:LTER,2012-03-12T23:00:00Z
doi:10.6073/AA/knb-lter-cdr.148211.123,urn:node:LTER,2012-01-28T00:00:00Z
doi:10.6073/AA/knb-lter-cdr.157098.123,urn:node:LTER,2012-03-12T23:00:00Z
doi:10.6073/AA/knb-lter-cdr.163141.123,urn:node:LTER,2012-03-03T00:00:00Z
doi:10.6073/AA/knb-lter-cdr.154120.123,urn:node:LTER,2012-02-08T00:00:00Z
doi:10.6073/AA/knb-lter-cdr.152120.123,urn:node:LTER,2012-01-28T00:00:00Z
doi:10.6073/AA/knb-lter-cdr.164141.123,urn:node:LTER,2012-03-03T00:00:00Z
doi:10.6073/AA/knb-lter-cdr.128145.123,urn:node:LTER,2012-05-06T23:00:00Z
doi:10.6073/AA/knb-lter-cdr.16133.123,urn:node:LTER,2012-03-07T00:00:00Z
doi:10.6073/AA/knb-lter-cdr.21008.123,urn:node:LTER,2012-03-03T00:00:00Z
doi:10.6073/AA/knb-lter-cdr.21009.123,urn:node:LTER,2012-03-03T00:00:00Z
doi:10.6073/AA/knb-lter-cdr.24011.123,urn:node:LTER,2012-03-03T00:00:00Z
doi:10.6073/AA/knb-lter-cdr.24009.123,urn:node:LTER,2012-03-03T00:00:00Z
doi:10.6073/AA/knb-lter-cdr.24010.123,urn:node:LTER,2012-03-03T00:00:00Z
doi:10.6073/AA/knb-lter-cdr.22010.123,urn:node:LTER,2012-03-03T00:00:00Z
doi:10.6073/AA/knb-lter-cdr.19071.123,urn:node:LTER,2012-03-03T00:00:00Z
doi:10.6073/AA/knb-lter-cdr.22008.123,urn:node:LTER,2012-03-03T00:00:00Z
doi:10.6073/AA/knb-lter-cdr.48009.123,urn:node:LTER,2012-03-03T00:00:00Z
doi:10.6073/AA/knb-lter-cdr.25052.123,urn:node:LTER,2012-03-03T00:00:00Z
doi:10.6073/AA/knb-lter-cdr.34052.123,urn:node:LTER,2012-03-03T00:00:00Z
doi:10.6073/AA/knb-lter-cdr.45010.123,urn:node:LTER,2012-03-03T00:00:00Z
doi:10.6073/AA/knb-lter-cdr.48008.123,urn:node:LTER,2012-03-03T00:00:00Z
doi:10.6073/AA/knb-lter-cdr.48007.123,urn:node:LTER,2012-03-03T00:00:00Z
doi:10.6073/AA/knb-lter-cdr.48010.123,urn:node:LTER,2012-03-03T00:00:00Z
doi:10.6073/AA/knb-lter-cdr.3011.123,urn:node:LTER,2012-03-03T00:00:00Z
doi:10.6073/AA/knb-lter-cdr.35052.123,urn:node:LTER,2012-03-03T00:00:00Z
doi:10.6073/AA/knb-lter-cdr.36097.123,urn:node:LTER,2012-03-12T23:00:00Z
doi:10.6073/AA/knb-lter-cdr.42098.123,urn:node:LTER,2012-03-12T23:00:00Z
doi:10.6073/AA/knb-lter-cdr.43091.123,urn:node:LTER,2012-03-03T00:00:00Z
doi:10.6073/AA/knb-lter-cdr.46003.123,urn:node:LTER,2012-03-03T00:00:00Z
knb-lter-cdr.26026.123,urn:node:LTER,2012-03-16T23:00:00Z
knb-lter-cdr.48026.123,urn:node:LTER,2012-03-03T00:00:00Z
knb-lter-cdr.76026.123,urn:node:LTER,2012-03-03T00:00:00Z
knb-lter-cdr.76172.123,urn:node:LTER,2012-03-12T23:00:00Z
knb-lter-cdr.175238.123,urn:node:LTER,2012-03-12T23:00:00Z
knb-lter-cdr.178169.123,urn:node:LTER,2012-03-03T00:00:00Z
knb-lter-cdr.49001.123,urn:node:LTER,2012-03-12T23:00:00Z
knb-lter-cdr.165199.123,urn:node:LTER,2012-03-03T00:00:00Z
knb-lter-cdr.167234.123,urn:node:LTER,2012-03-12T23:00:00Z
knb-lter-cdr.82249.123,urn:node:LTER,2012-03-12T23:00:00Z
knb-lter-cdr.49172.123,urn:node:LTER,2012-03-12T23:00:00Z
knb-lter-cdr.70172.123,urn:node:LTER,2012-03-12T23:00:00Z
knb-lter-cdr.104026.123,urn:node:LTER,2012-03-03T00:00:00Z
knb-lter-cdr.96026.123,urn:node:LTER,2012-03-03T00:00:00Z
knb-lter-cdr.166219.123,urn:node:LTER,2012-05-06T23:00:00Z
knb-lter-cdr.17026.123,urn:node:LTER,2012-03-16T23:00:00Z
knb-lter-cdr.70111.123,urn:node:LTER,2012-03-03T00:00:00Z
