authoritativeMN,dateUploaded,identifier
urn:node:LTER,2005-09-22T23:00:00Z,knb-lter-bnz.53.18
urn:node:LTER,2005-07-27T23:00:00Z,doi:10.6073/AA/knb-lter-arc.1566.1
urn:node:LTER,2005-07-27T23:00:00Z,doi:10.6073/AA/knb-lter-arc.132.1
urn:node:LTER,2005-07-27T23:00:00Z,knb-lter-kbs.28.23
urn:node:LTER,2005-07-27T23:00:00Z,doi:10.6073/AA/knb-lter-arc.824.1
urn:node:LTER,2005-07-27T23:00:00Z,doi:10.6073/AA/knb-lter-lno.53.1
urn:node:LTER,2005-07-27T23:00:00Z,doi:10.6073/AA/knb-lter-arc.844.1
urn:node:LTER,2005-07-27T23:00:00Z,doi:10.6073/AA/knb-lter-nwt.127.2
urn:node:LTER,2005-07-27T23:00:00Z,doi:10.6073/AA/knb-lter-nwt.48.2
urn:node:LTER,2005-07-27T23:00:00Z,doi:10.6073/AA/knb-lter-arc.388.1
urn:node:LTER,2005-07-27T23:00:00Z,knb-lter-arc.1176.2
urn:node:LTER,2005-09-23T23:00:00Z,knb-lter-bnz.80.18
urn:node:LTER,2005-07-27T23:00:00Z,doi:10.6073/AA/knb-lter-arc.444.1
urn:node:LTER,2005-07-27T23:00:00Z,doi:10.6073/AA/knb-lter-arc.252.1
urn:node:LTER,2005-07-27T23:00:00Z,knb-lter-gce.64.32
urn:node:LTER,2005-07-27T23:00:00Z,knb-lter-arc.1404.7
urn:node:LTER,2005-11-22T00:00:00Z,knb-lter-gce.268.33
urn:node:LTER,2005-07-29T23:00:00Z,doi:10.6073/AA/knb-lter-luq.21.3
urn:node:LTER,2005-07-29T23:00:00Z,knb-lter-pie.113.5
urn:node:LTER,2005-08-03T23:00:00Z,knb-lter-gce.248.19
urn:node:LTER,2005-08-14T23:00:00Z,doi:10.6073/AA/knb-lter-and.4046.6
urn:node:LTER,2005-07-27T23:00:00Z,doi:10.6073/AA/knb-lter-hbr.3.4
urn:node:LTER,2005-07-29T23:00:00Z,knb-lter-arc.950.3
urn:node:LTER,2005-07-27T23:00:00Z,doi:10.6073/AA/knb-lter-lno.264.1
urn:node:LTER,2005-07-27T23:00:00Z,doi:10.6073/AA/knb-lter-arc.486.1
urn:node:LTER,2005-07-27T23:00:00Z,doi:10.6073/AA/knb-lter-arc.275.1
urn:node:LTER,2005-07-27T23:00:00Z,doi:10.6073/AA/knb-lter-lno.263.1
urn:node:LTER,2005-07-27T23:00:00Z,doi:10.6073/AA/knb-lter-arc.731.1
urn:node:LTER,2005-07-27T23:00:00Z,doi:10.6073/AA/knb-lter-arc.1299.1
urn:node:LTER,2005-07-27T23:00:00Z,knb-lter-arc.980.3
urn:node:LTER,2005-07-27T23:00:00Z,knb-lter-gce.176.21
urn:node:LTER,2005-07-27T23:00:00Z,doi:10.6073/AA/knb-lter-arc.113.1
urn:node:LTER,2005-07-27T23:00:00Z,doi:10.6073/AA/knb-lter-arc.451.1
urn:node:LTER,2005-07-27T23:00:00Z,doi:10.6073/AA/knb-lter-arc.554.1
urn:node:LTER,2005-07-27T23:00:00Z,doi:10.6073/AA/knb-lter-lno.305.1
urn:node:LTER,2005-07-27T23:00:00Z,doi:10.6073/AA/knb-lter-arc.436.1
urn:node:LTER,2005-09-22T23:00:00Z,knb-lter-bnz.53.18
urn:node:LTER,2005-07-27T23:00:00Z,doi:10.6073/AA/knb-lter-arc.154.1
urn:node:LTER,2005-08-03T23:00:00Z,knb-lter-sev.137.57143
urn:node:LTER,2005-07-27T23:00:00Z,doi:10.6073/AA/knb-lter-arc.387.1
urn:node:LTER,2005-07-29T23:00:00Z,doi:10.6073/AA/knb-lter-pie.84.3
urn:node:LTER,2005-07-27T23:00:00Z,doi:10.6073/AA/knb-lter-arc.355.1
urn:node:LTER,2005-07-27T23:00:00Z,doi:10.6073/AA/knb-lter-cwt.1037.4
urn:node:LTER,2005-07-27T23:00:00Z,knb-lter-nwt.103.6
urn:node:LTER,2005-08-20T23:00:00Z,knb-lter-vcr.78.19
urn:node:LTER,2005-07-27T23:00:00Z,knb-lter-kbs.18.23
urn:node:LTER,2005-07-27T23:00:00Z,doi:10.6073/AA/knb-lter-arc.850.1
urn:node:LTER,2005-07-29T23:00:00Z,knb-lter-vcr.23.17
urn:node:LTER,2005-07-29T23:00:00Z,doi:10.6073/AA/knb-lter-arc.1116.1
urn:node:LTER,2005-07-27T23:00:00Z,doi:10.6073/AA/knb-lter-hbr.88.3
urn:node:LTER,2005-07-27T23:00:00Z,doi:10.6073/AA/knb-lter-arc.515.1
urn:node:LTER,2005-07-27T23:00:00Z,knb-lter-arc.1398.9
urn:node:LTER,2005-08-24T23:00:00Z,doi:10.6073/AA/knb-lter-fce.95.5
urn:node:LTER,2005-07-27T23:00:00Z,knb-lter-kbs.29.23
urn:node:LTER,2005-07-27T23:00:00Z,doi:10.6073/AA/knb-lter-arc.854.1
urn:node:LTER,2005-07-27T23:00:00Z,doi:10.6073/AA/knb-lter-arc.335.1
urn:node:LTER,2005-07-27T23:00:00Z,doi:10.6073/AA/knb-lter-arc.694.1
urn:node:LTER,2005-07-27T23:00:00Z,knb-lter-arc.1197.2
urn:node:LTER,2005-07-27T23:00:00Z,knb-lter-arc.1578.2
urn:node:LTER,2005-07-27T23:00:00Z,doi:10.6073/AA/knb-lter-arc.141.1
urn:node:LTER,2005-07-29T23:00:00Z,knb-lter-pie.35.9
urn:node:LTER,2005-09-22T23:00:00Z,knb-lter-bnz.31.18
urn:node:LTER,2005-07-27T23:00:00Z,knb-lter-gce.232.20
urn:node:LTER,2005-07-27T23:00:00Z,knb-lter-gce.105.31
urn:node:LTER,2005-07-27T23:00:00Z,doi:10.6073/AA/knb-lter-arc.354.1
urn:node:LTER,2005-08-24T23:00:00Z,doi:10.6073/AA/knb-lter-fce.88.5
urn:node:LTER,2005-07-27T23:00:00Z,knb-lter-arc.1500.8
urn:node:LTER,2005-07-27T23:00:00Z,knb-lter-arc.1576.2
urn:node:LTER,2005-07-27T23:00:00Z,doi:10.6073/AA/knb-lter-arc.438.1
urn:node:LTER,2005-07-27T23:00:00Z,doi:10.6073/AA/knb-lter-arc.574.1
urn:node:LTER,2005-07-27T23:00:00Z,knb-lter-gce.93.44
urn:node:LTER,2005-07-27T23:00:00Z,doi:10.6073/AA/knb-lter-hbr.34.4
urn:node:LTER,2005-07-27T23:00:00Z,doi:10.6073/AA/knb-lter-cwt.4013.4
urn:node:LTER,2005-07-27T23:00:00Z,doi:10.6073/AA/knb-lter-arc.209.1
urn:node:LTER,2005-07-27T23:00:00Z,doi:10.6073/AA/knb-lter-nwt.403.2
urn:node:LTER,2005-07-29T23:00:00Z,knb-lter-vcr.116.15
urn:node:LTER,2005-07-27T23:00:00Z,doi:10.6073/AA/knb-lter-arc.434.1
urn:node:LTER,2005-07-27T23:00:00Z,doi:10.6073/AA/knb-lter-arc.581.1
urn:node:LTER,2005-08-03T23:00:00Z,knb-lter-sev.137.57143
urn:node:LTER,2005-07-27T23:00:00Z,knb-lter-gce.153.20
urn:node:LTER,2005-07-27T23:00:00Z,knb-lter-gce.72.32
urn:node:LTER,2005-07-29T23:00:00Z,doi:10.6073/AA/knb-lter-luq.58.3
urn:node:LTER,2005-07-27T23:00:00Z,doi:10.6073/AA/knb-lter-arc.245.1
urn:node:LTER,2005-07-27T23:00:00Z,knb-lter-arc.969.5
urn:node:LTER,2005-07-27T23:00:00Z,knb-lter-gce.198.20
urn:node:LTER,2005-07-27T23:00:00Z,doi:10.6073/AA/knb-lter-nwt.123.2
urn:node:LTER,2005-07-27T23:00:00Z,knb-lter-gce.101.42
urn:node:LTER,2005-07-29T23:00:00Z,knb-lter-vcr.54.15
urn:node:LTER,2005-07-29T23:00:00Z,doi:10.6073/AA/knb-lter-pie.17.4
urn:node:LTER,2005-08-24T23:00:00Z,doi:10.6073/AA/knb-lter-fce.61.5
urn:node:LTER,2005-07-27T23:00:00Z,doi:10.6073/AA/knb-lter-arc.491.1
urn:node:LTER,2005-07-27T23:00:00Z,doi:10.6073/AA/knb-lter-lno.17.1
urn:node:LTER,2005-07-27T23:00:00Z,doi:10.6073/AA/knb-lter-arc.752.1
urn:node:LTER,2005-08-14T23:00:00Z,doi:10.6073/AA/knb-lter-and.3141.7
urn:node:LTER,2005-07-27T23:00:00Z,knb-lter-arc.1390.9
urn:node:LTER,2005-07-27T23:00:00Z,doi:10.6073/AA/knb-lter-arc.529.1
urn:node:LTER,2005-07-27T23:00:00Z,doi:10.6073/AA/knb-lter-arc.708.1
urn:node:LTER,2005-07-27T23:00:00Z,doi:10.6073/AA/knb-lter-cwt.2012.4
urn:node:LTER,2005-07-27T23:00:00Z,doi:10.6073/AA/knb-lter-cwt.1082.4
urn:node:LTER,2005-07-27T23:00:00Z,doi:10.6073/AA/knb-lter-hbr.70.4
urn:node:LTER,2005-07-27T23:00:00Z,doi:10.6073/AA/knb-lter-arc.768.1
urn:node:LTER,2005-09-23T23:00:00Z,knb-lter-bnz.139.18
urn:node:LTER,2005-07-27T23:00:00Z,doi:10.6073/AA/knb-lter-arc.144.1
urn:node:LTER,2005-07-27T23:00:00Z,doi:10.6073/AA/knb-lter-lno.265.1
urn:node:LTER,2005-07-27T23:00:00Z,doi:10.6073/AA/knb-lter-and.3120.5
urn:node:LTER,2005-07-29T23:00:00Z,knb-lter-and.2728.7
urn:node:LTER,2005-07-27T23:00:00Z,doi:10.6073/AA/knb-lter-lno.266.1
urn:node:LTER,2005-07-27T23:00:00Z,knb-lter-arc.1535.4
urn:node:LTER,2005-07-27T23:00:00Z,doi:10.6073/AA/knb-lter-cwt.2015.4
urn:node:LTER,2005-07-27T23:00:00Z,doi:10.6073/AA/knb-lter-lno.40.1
urn:node:LTER,2005-07-27T23:00:00Z,doi:10.6073/AA/knb-lter-arc.1107.1
urn:node:LTER,2005-07-27T23:00:00Z,knb-lter-arc.935.3
urn:node:LTER,2005-07-29T23:00:00Z,knb-lter-pie.98.8
urn:node:LTER,2005-07-27T23:00:00Z,doi:10.6073/AA/knb-lter-cwt.1090.4
urn:node:LTER,2005-07-27T23:00:00Z,doi:10.6073/AA/knb-lter-arc.139.1
urn:node:LTER,2005-07-27T23:00:00Z,knb-lter-gce.95.32
urn:node:LTER,2005-07-29T23:00:00Z,knb-lter-pie.2.8
urn:node:LTER,2005-08-24T23:00:00Z,doi:10.6073/AA/knb-lter-fce.90.5
urn:node:LTER,2005-07-27T23:00:00Z,knb-lter-gce.34.21
urn:node:LTER,2005-07-27T23:00:00Z,doi:10.6073/AA/knb-lter-cwt.3011.4
urn:node:LTER,2005-07-27T23:00:00Z,doi:10.6073/AA/knb-lter-arc.571.1
urn:node:LTER,2005-07-27T23:00:00Z,doi:10.6073/AA/knb-lter-lno.35.1
urn:node:LTER,2005-07-27T23:00:00Z,doi:10.6073/AA/knb-lter-lno.92.1
urn:node:LTER,2005-07-27T23:00:00Z,knb-lter-nwt.42.6
urn:node:LTER,2005-07-27T23:00:00Z,knb-lter-arc.1356.3
urn:node:LTER,2005-07-27T23:00:00Z,doi:10.6073/AA/knb-lter-nwt.45.2
urn:node:LTER,2005-07-27T23:00:00Z,knb-lter-arc.1457.3
urn:node:LTER,2005-07-29T23:00:00Z,knb-lter-vcr.32.16
urn:node:LTER,2005-07-27T23:00:00Z,doi:10.6073/AA/knb-lter-lno.285.2
urn:node:LTER,2005-07-29T23:00:00Z,doi:10.6073/AA/knb-lter-luq.91.3
urn:node:LTER,2005-07-27T23:00:00Z,knb-lter-arc.1564.3
urn:node:LTER,2005-07-27T23:00:00Z,doi:10.6073/AA/knb-lter-lno.250.2
urn:node:LTER,2005-07-27T23:00:00Z,doi:10.6073/AA/knb-lter-lno.353.1
urn:node:LTER,2005-07-29T23:00:00Z,doi:10.6073/AA/knb-lter-luq.17.3
urn:node:LTER,2005-07-27T23:00:00Z,knb-lter-arc.1538.4
urn:node:LTER,2005-09-23T23:00:00Z,knb-lter-bnz.89.20
urn:node:LTER,2005-07-27T23:00:00Z,doi:10.6073/AA/knb-lter-arc.1058.1
urn:node:LTER,2005-07-29T23:00:00Z,knb-lter-vcr.16.15
