authoritativeMN,dateUploaded,identifier
urn:node:LTER,2013-10-03T23:00:00Z,knb-lter-bes.1750.120
urn:node:LTER,2013-04-06T23:00:00Z,knb-lter-bnz.530.5
urn:node:LTER,2013-04-29T23:00:00Z,knb-lter-fce.1084.3
urn:node:LTER,2013-05-07T23:00:00Z,knb-lter-arc.10260.2
urn:node:LTER,2013-07-02T23:00:00Z,knb-lter-mcr.1040.4
urn:node:LTER,2013-11-22T00:00:00Z,knb-lter-arc.10403.2
urn:node:LTER,2013-12-11T00:00:00Z,knb-lter-arc.10416.1
urn:node:LTER,2013-04-06T23:00:00Z,knb-lter-bnz.533.4
urn:node:LTER,2013-05-10T23:00:00Z,knb-lter-kbs.125.3
urn:node:LTER,2013-06-03T23:00:00Z,knb-lter-arc.10331.3
urn:node:LTER,2013-10-20T23:00:00Z,knb-lter-arc.10350.2
urn:node:LTER,2013-06-03T23:00:00Z,knb-lter-arc.10326.3
urn:node:LTER,2013-07-15T23:00:00Z,knb-lter-nwt.156.1
urn:node:LTER,2013-04-01T23:00:00Z,knb-lter-arc.10203.4
urn:node:LTER,2013-04-25T23:00:00Z,knb-lter-fce.1071.5
urn:node:LTER,2013-10-20T23:00:00Z,knb-lter-arc.10376.1
urn:node:LTER,2013-10-21T23:00:00Z,knb-lter-pie.266.1
urn:node:LTER,2013-04-19T23:00:00Z,knb-lter-pie.235.2
urn:node:LTER,2013-10-03T23:00:00Z,knb-lter-bes.1860.120
urn:node:LTER,2013-06-03T23:00:00Z,knb-lter-arc.10306.3
urn:node:LTER,2013-04-23T23:00:00Z,knb-lter-fce.1067.3
urn:node:LTER,2013-05-14T23:00:00Z,knb-lter-arc.10278.2
urn:node:LTER,2013-02-27T00:00:00Z,knb-lter-fce.1016.1
urn:node:LTER,2013-10-21T23:00:00Z,knb-lter-pie.251.1
urn:node:LTER,2013-06-03T23:00:00Z,knb-lter-arc.10321.3
urn:node:LTER,2013-02-23T00:00:00Z,knb-lter-fce.1001.1
urn:node:LTER,2013-05-29T23:00:00Z,knb-lter-arc.10287.2
urn:node:LTER,2013-06-27T23:00:00Z,knb-lter-fce.1158.2
urn:node:LTER,2013-05-07T23:00:00Z,knb-lter-arc.10237.2
urn:node:LTER,2013-04-19T23:00:00Z,knb-lter-pie.236.2
urn:node:LTER,2013-07-11T23:00:00Z,knb-lter-fce.1170.3
urn:node:LTER,2013-12-17T00:00:00Z,knb-lter-sev.290.29574
urn:node:LTER,2013-06-17T23:00:00Z,knb-lter-fce.1147.2
urn:node:LTER,2013-05-07T23:00:00Z,knb-lter-arc.10206.2
urn:node:LTER,2013-04-01T23:00:00Z,knb-lter-arc.10199.3
urn:node:LTER,2013-10-20T23:00:00Z,knb-lter-arc.10360.2
urn:node:LTER,2013-10-20T23:00:00Z,knb-lter-arc.10379.1
urn:node:LTER,2013-02-16T00:00:00Z,knb-lter-hfr.209.4
urn:node:LTER,2013-06-20T23:00:00Z,knb-lter-fce.1154.2
urn:node:LTER,2013-05-07T23:00:00Z,knb-lter-arc.10212.4
urn:node:LTER,2013-03-02T00:00:00Z,knb-lter-fce.1036.2
urn:node:LTER,2013-10-21T23:00:00Z,knb-lter-pie.272.1
urn:node:LTER,2013-05-29T23:00:00Z,knb-lter-arc.10297.2
urn:node:LTER,2013-06-21T23:00:00Z,knb-lter-gce.420.4
urn:node:LTER,2013-10-21T23:00:00Z,knb-lter-pie.257.1
urn:node:LTER,2013-04-01T23:00:00Z,knb-lter-arc.10191.3
urn:node:LTER,2013-07-09T23:00:00Z,knb-lter-sev.287.132749
urn:node:LTER,2013-12-19T00:00:00Z,knb-lter-arc.10482.1
urn:node:LTER,2013-07-11T23:00:00Z,knb-lter-fce.1170.3
urn:node:LTER,2013-12-19T00:00:00Z,knb-lter-arc.10467.1
urn:node:LTER,2013-06-03T23:00:00Z,knb-lter-arc.10321.3
urn:node:LTER,2013-05-03T23:00:00Z,knb-lter-fce.1104.2
urn:node:LTER,2013-04-29T23:00:00Z,knb-lter-mcm.74.1
urn:node:LTER,2013-10-03T23:00:00Z,knb-lter-bes.1800.120
urn:node:LTER,2013-10-03T23:00:00Z,knb-lter-bes.1910.120
urn:node:LTER,2013-12-19T00:00:00Z,knb-lter-arc.10472.1
urn:node:LTER,2013-06-21T23:00:00Z,knb-lter-gce.416.5
urn:node:LTER,2013-04-25T23:00:00Z,knb-lter-fce.1073.8
urn:node:LTER,2013-10-21T23:00:00Z,knb-lter-pie.257.1
urn:node:LTER,2013-06-03T23:00:00Z,knb-lter-arc.10307.3
urn:node:LTER,2013-12-19T00:00:00Z,knb-lter-arc.10460.1
urn:node:LTER,2013-06-21T23:00:00Z,knb-lter-gce.415.4
urn:node:LTER,2013-10-21T23:00:00Z,knb-lter-pie.272.1
urn:node:LTER,2013-03-25T23:00:00Z,knb-lter-arc.10175.2
urn:node:LTER,2013-10-03T23:00:00Z,knb-lter-bes.1780.120
urn:node:LTER,2013-06-13T23:00:00Z,knb-lter-fce.1142.2
urn:node:LTER,2013-12-18T00:00:00Z,knb-lter-sev.291.43686
urn:node:LTER,2013-05-16T23:00:00Z,knb-lter-fce.1120.2
urn:node:LTER,2013-10-03T23:00:00Z,knb-lter-bes.1910.120
urn:node:LTER,2013-06-03T23:00:00Z,knb-lter-arc.10317.2
urn:node:LTER,2013-02-15T00:00:00Z,knb-lter-fce.523.1
urn:node:LTER,2013-10-20T23:00:00Z,knb-lter-arc.10376.1
urn:node:LTER,2013-07-22T23:00:00Z,knb-lter-sbc.70.1
urn:node:LTER,2013-08-15T23:00:00Z,knb-lter-kbs.126.1
urn:node:LTER,2013-03-25T23:00:00Z,knb-lter-arc.10160.2
urn:node:LTER,2013-12-11T00:00:00Z,knb-lter-arc.10417.1
urn:node:LTER,2013-04-02T23:00:00Z,knb-lter-fce.1055.5
urn:node:LTER,2013-03-25T23:00:00Z,knb-lter-arc.10179.2
urn:node:LTER,2013-03-02T00:00:00Z,knb-lter-fce.1035.1
urn:node:LTER,2013-12-19T00:00:00Z,knb-lter-arc.10488.2
urn:node:LTER,2013-04-30T23:00:00Z,knb-lter-fce.1092.8
urn:node:LTER,2013-05-29T23:00:00Z,knb-lter-pie.237.1
urn:node:LTER,2013-07-11T23:00:00Z,knb-lter-fce.1171.2
urn:node:LTER,2013-10-21T23:00:00Z,knb-lter-pie.277.1
urn:node:LTER,2013-03-25T23:00:00Z,knb-lter-arc.10178.2
urn:node:LTER,2013-04-06T23:00:00Z,knb-lter-bnz.532.4
urn:node:LTER,2013-12-11T00:00:00Z,knb-lter-arc.10417.1
urn:node:LTER,2013-12-11T00:00:00Z,knb-lter-arc.10422.4
urn:node:LTER,2013-10-19T23:00:00Z,knb-lter-sbc.73.3
urn:node:LTER,2013-03-25T23:00:00Z,knb-lter-arc.10165.2
urn:node:LTER,2013-05-07T23:00:00Z,knb-lter-arc.10234.2
urn:node:LTER,2013-03-25T23:00:00Z,knb-lter-arc.10178.2
urn:node:LTER,2013-01-17T00:00:00Z,knb-lter-jrn.20020600.9903
urn:node:LTER,2013-05-29T23:00:00Z,knb-lter-arc.10288.2
urn:node:LTER,2013-12-11T00:00:00Z,knb-lter-arc.10444.3
urn:node:LTER,2013-06-27T23:00:00Z,knb-lter-fce.1158.2
urn:node:LTER,2013-04-29T23:00:00Z,knb-lter-mcm.74.1
urn:node:LTER,2013-02-09T00:00:00Z,knb-lter-hfr.203.4
urn:node:LTER,2013-12-19T00:00:00Z,knb-lter-arc.10469.1
urn:node:LTER,2013-12-21T00:00:00Z,knb-lter-arc.10498.1
urn:node:LTER,2013-10-21T23:00:00Z,knb-lter-pie.254.1
urn:node:LTER,2013-05-07T23:00:00Z,knb-lter-arc.10254.2
urn:node:LTER,2013-10-03T23:00:00Z,knb-lter-bes.1780.120
urn:node:LTER,2013-03-27T23:00:00Z,knb-lter-fce.1051.11
urn:node:LTER,2013-10-21T23:00:00Z,knb-lter-pie.260.1
urn:node:LTER,2013-10-21T23:00:00Z,knb-lter-pie.268.1
urn:node:LTER,2013-10-20T23:00:00Z,knb-lter-arc.10379.1
