identifier,authoritativeMN,dateUploaded
knb-lter-kbs.126.1,urn:node:LTER,2013-08-15T23:00:00Z
knb-lter-pie.241.1,urn:node:LTER,2013-07-24T23:00:00Z
knb-lter-pie.244.1,urn:node:LTER,2013-07-24T23:00:00Z
knb-lter-pie.242.1,urn:node:LTER,2013-07-24T23:00:00Z
knb-lter-pie.243.1,urn:node:LTER,2013-07-24T23:00:00Z
knb-lter-fce.1101.3,urn:node:LTER,2013-05-02T23:00:00Z
knb-lter-fce.1174.3,urn:node:LTER,2013-07-11T23:00:00Z
knb-lter-fce.1099.3,urn:node:LTER,2013-05-01T23:00:00Z
knb-lter-fce.1105.2,urn:node:LTER,2013-05-03T23:00:00Z
knb-lter-fce.1104.2,urn:node:LTER,2013-05-03T23:00:00Z
knb-lter-fce.1106.2,urn:node:LTER,2013-05-04T23:00:00Z
knb-lter-fce.1100.2,urn:node:LTER,2013-05-01T23:00:00Z
knb-lter-fce.1123.2,urn:node:LTER,2013-05-29T23:00:00Z
knb-lter-pie.240.1,urn:node:LTER,2013-07-24T23:00:00Z
knb-lter-sbc.70.1,urn:node:LTER,2013-07-22T23:00:00Z
knb-lter-pie.245.2,urn:node:LTER,2013-07-24T23:00:00Z
knb-lter-pie.248.1,urn:node:LTER,2013-07-31T23:00:00Z
knb-lter-fce.1171.2,urn:node:LTER,2013-07-11T23:00:00Z
knb-lter-nwt.154.1,urn:node:LTER,2013-07-15T23:00:00Z
knb-lter-nwt.155.1,urn:node:LTER,2013-07-15T23:00:00Z
knb-lter-nwt.156.1,urn:node:LTER,2013-07-15T23:00:00Z
knb-lter-kbs.127.1,urn:node:LTER,2013-09-30T23:00:00Z
knb-lter-pie.401.1,urn:node:LTER,2013-09-30T23:00:00Z
knb-lter-pie.402.1,urn:node:LTER,2013-09-30T23:00:00Z
knb-lter-pie.404.1,urn:node:LTER,2013-09-30T23:00:00Z
knb-lter-pie.403.1,urn:node:LTER,2013-09-30T23:00:00Z
knb-lter-pie.250.1,urn:node:LTER,2013-09-30T23:00:00Z
knb-lter-cap.574.5,urn:node:LTER,2013-05-24T23:00:00Z
knb-lter-cap.590.3,urn:node:LTER,2013-08-08T23:00:00Z
knb-lter-fce.1130.2,urn:node:LTER,2013-06-06T23:00:00Z
knb-lter-fce.1113.2,urn:node:LTER,2013-05-07T23:00:00Z
knb-lter-fce.1103.2,urn:node:LTER,2013-05-03T23:00:00Z
knb-lter-fce.1102.2,urn:node:LTER,2013-05-02T23:00:00Z
knb-lter-fce.1122.3,urn:node:LTER,2013-05-16T23:00:00Z
knb-lter-fce.1152.2,urn:node:LTER,2013-06-20T23:00:00Z
knb-lter-fce.1143.2,urn:node:LTER,2013-06-14T23:00:00Z
knb-lter-fce.1145.2,urn:node:LTER,2013-06-17T23:00:00Z
knb-lter-fce.1139.2,urn:node:LTER,2013-06-11T23:00:00Z
knb-lter-bes.1720.120,urn:node:LTER,2013-10-03T23:00:00Z
knb-lter-bes.1700.120,urn:node:LTER,2013-10-03T23:00:00Z
knb-lter-bes.1710.120,urn:node:LTER,2013-10-03T23:00:00Z
knb-lter-cap.593.4,urn:node:LTER,2013-08-08T23:00:00Z
knb-lter-cap.589.4,urn:node:LTER,2013-08-08T23:00:00Z
knb-lter-fce.1150.2,urn:node:LTER,2013-06-19T23:00:00Z
knb-lter-fce.1148.2,urn:node:LTER,2013-06-19T23:00:00Z
knb-lter-fce.1147.2,urn:node:LTER,2013-06-17T23:00:00Z
knb-lter-fce.1149.2,urn:node:LTER,2013-06-19T23:00:00Z
knb-lter-bes.1770.120,urn:node:LTER,2013-10-03T23:00:00Z
knb-lter-bes.1800.120,urn:node:LTER,2013-10-03T23:00:00Z
knb-lter-bes.1790.120,urn:node:LTER,2013-10-03T23:00:00Z
knb-lter-bes.1760.120,urn:node:LTER,2013-10-03T23:00:00Z
knb-lter-bes.1780.120,urn:node:LTER,2013-10-03T23:00:00Z
knb-lter-fce.1064.3,urn:node:LTER,2013-04-22T23:00:00Z
knb-lter-fce.1063.2,urn:node:LTER,2013-04-22T23:00:00Z
knb-lter-fce.1066.2,urn:node:LTER,2013-04-23T23:00:00Z
knb-lter-fce.1165.2,urn:node:LTER,2013-06-28T23:00:00Z
knb-lter-fce.1132.2,urn:node:LTER,2013-06-07T23:00:00Z
knb-lter-fce.1119.4,urn:node:LTER,2013-05-15T23:00:00Z
knb-lter-fce.1142.2,urn:node:LTER,2013-06-13T23:00:00Z
knb-lter-fce.1120.2,urn:node:LTER,2013-05-16T23:00:00Z
knb-lter-fce.1121.3,urn:node:LTER,2013-05-16T23:00:00Z
knb-lter-fce.1161.2,urn:node:LTER,2013-06-28T23:00:00Z
knb-lter-fce.1162.2,urn:node:LTER,2013-06-28T23:00:00Z
knb-lter-fce.1163.2,urn:node:LTER,2013-06-28T23:00:00Z
knb-lter-bes.1750.120,urn:node:LTER,2013-10-03T23:00:00Z
knb-lter-bes.1730.120,urn:node:LTER,2013-10-03T23:00:00Z
knb-lter-bes.1740.120,urn:node:LTER,2013-10-03T23:00:00Z
knb-lter-cap.575.3,urn:node:LTER,2013-05-24T23:00:00Z
knb-lter-cap.584.4,urn:node:LTER,2013-07-19T23:00:00Z
knb-lter-cap.573.6,urn:node:LTER,2013-07-12T23:00:00Z
knb-lter-fce.1062.3,urn:node:LTER,2013-04-22T23:00:00Z
knb-lter-fce.1061.2,urn:node:LTER,2013-04-19T23:00:00Z
knb-lter-fce.1054.3,urn:node:LTER,2013-03-29T23:00:00Z
knb-lter-fce.1133.3,urn:node:LTER,2013-06-07T23:00:00Z
knb-lter-fce.1118.2,urn:node:LTER,2013-05-08T23:00:00Z
knb-lter-fce.1151.2,urn:node:LTER,2013-06-19T23:00:00Z
knb-lter-fce.1156.2,urn:node:LTER,2013-06-21T23:00:00Z
knb-lter-fce.1155.2,urn:node:LTER,2013-06-20T23:00:00Z
knb-lter-fce.1157.2,urn:node:LTER,2013-06-24T23:00:00Z
knb-lter-fce.1154.2,urn:node:LTER,2013-06-20T23:00:00Z
knb-lter-fce.1153.2,urn:node:LTER,2013-06-20T23:00:00Z
knb-lter-bes.1820.120,urn:node:LTER,2013-10-03T23:00:00Z
knb-lter-bes.1810.120,urn:node:LTER,2013-10-03T23:00:00Z
knb-lter-bes.1850.120,urn:node:LTER,2013-10-03T23:00:00Z
knb-lter-bes.1830.120,urn:node:LTER,2013-10-03T23:00:00Z
knb-lter-cap.570.7,urn:node:LTER,2013-07-09T23:00:00Z
knb-lter-fce.1068.3,urn:node:LTER,2013-04-23T23:00:00Z
knb-lter-fce.1065.2,urn:node:LTER,2013-04-22T23:00:00Z
knb-lter-fce.1135.3,urn:node:LTER,2013-06-10T23:00:00Z
knb-lter-fce.1137.2,urn:node:LTER,2013-06-11T23:00:00Z
knb-lter-fce.1159.2,urn:node:LTER,2013-06-27T23:00:00Z
knb-lter-fce.1160.3,urn:node:LTER,2013-06-28T23:00:00Z
knb-lter-fce.1158.2,urn:node:LTER,2013-06-27T23:00:00Z
knb-lter-cap.596.1,urn:node:LTER,2013-10-07T23:00:00Z
knb-lter-cap.592.4,urn:node:LTER,2013-08-08T23:00:00Z
knb-lter-cap.594.4,urn:node:LTER,2013-08-08T23:00:00Z
knb-lter-cap.595.1,urn:node:LTER,2013-10-07T23:00:00Z
knb-lter-fce.1129.2,urn:node:LTER,2013-06-04T23:00:00Z
knb-lter-fce.1128.2,urn:node:LTER,2013-06-04T23:00:00Z
knb-lter-fce.1125.2,urn:node:LTER,2013-06-03T23:00:00Z
knb-lter-fce.1124.2,urn:node:LTER,2013-06-03T23:00:00Z
knb-lter-fce.1146.2,urn:node:LTER,2013-06-17T23:00:00Z
knb-lter-fce.1126.2,urn:node:LTER,2013-06-03T23:00:00Z
knb-lter-bes.1840.120,urn:node:LTER,2013-10-03T23:00:00Z
knb-lter-bes.1930.120,urn:node:LTER,2013-10-03T23:00:00Z
knb-lter-bes.1910.120,urn:node:LTER,2013-10-03T23:00:00Z
knb-lter-arc.10370.1,urn:node:LTER,2013-10-20T23:00:00Z
knb-lter-arc.10372.1,urn:node:LTER,2013-10-20T23:00:00Z
knb-lter-arc.10371.1,urn:node:LTER,2013-10-20T23:00:00Z
knb-lter-arc.10373.1,urn:node:LTER,2013-10-20T23:00:00Z
knb-lter-pie.405.1,urn:node:LTER,2013-10-21T23:00:00Z
knb-lter-pie.269.1,urn:node:LTER,2013-10-21T23:00:00Z
knb-lter-pie.271.1,urn:node:LTER,2013-10-21T23:00:00Z
knb-lter-pie.289.1,urn:node:LTER,2013-10-21T23:00:00Z
knb-lter-pie.286.1,urn:node:LTER,2013-10-21T23:00:00Z
knb-lter-pie.290.1,urn:node:LTER,2013-10-21T23:00:00Z
knb-lter-pie.288.1,urn:node:LTER,2013-10-21T23:00:00Z
knb-lter-pie.285.1,urn:node:LTER,2013-10-21T23:00:00Z
knb-lter-bes.1880.120,urn:node:LTER,2013-10-03T23:00:00Z
knb-lter-bes.1870.120,urn:node:LTER,2013-10-03T23:00:00Z
knb-lter-arc.10381.1,urn:node:LTER,2013-10-20T23:00:00Z
knb-lter-arc.10391.1,urn:node:LTER,2013-10-20T23:00:00Z
knb-lter-arc.10387.1,urn:node:LTER,2013-10-20T23:00:00Z
knb-lter-arc.10382.1,urn:node:LTER,2013-10-20T23:00:00Z
knb-lter-arc.10384.1,urn:node:LTER,2013-10-20T23:00:00Z
knb-lter-pie.261.1,urn:node:LTER,2013-10-21T23:00:00Z
knb-lter-pie.255.1,urn:node:LTER,2013-10-21T23:00:00Z
knb-lter-pie.252.1,urn:node:LTER,2013-10-21T23:00:00Z
knb-lter-pie.253.1,urn:node:LTER,2013-10-21T23:00:00Z
knb-lter-pie.258.1,urn:node:LTER,2013-10-21T23:00:00Z
knb-lter-pie.251.1,urn:node:LTER,2013-10-21T23:00:00Z
knb-lter-hfr.210.1,urn:node:LTER,2013-11-05T00:00:00Z
knb-lter-cap.606.2,urn:node:LTER,2013-11-05T00:00:00Z
knb-lter-hfr.211.1,urn:node:LTER,2013-11-05T00:00:00Z
knb-lter-bes.1900.120,urn:node:LTER,2013-10-03T23:00:00Z
knb-lter-bes.1890.120,urn:node:LTER,2013-10-03T23:00:00Z
knb-lter-pie.270.1,urn:node:LTER,2013-10-21T23:00:00Z
knb-lter-pie.273.1,urn:node:LTER,2013-10-21T23:00:00Z
knb-lter-pie.272.1,urn:node:LTER,2013-10-21T23:00:00Z
knb-lter-pie.274.1,urn:node:LTER,2013-10-21T23:00:00Z
knb-lter-pie.275.1,urn:node:LTER,2013-10-21T23:00:00Z
knb-lter-pie.277.1,urn:node:LTER,2013-10-21T23:00:00Z
knb-lter-pie.265.1,urn:node:LTER,2013-10-21T23:00:00Z
knb-lter-pie.266.1,urn:node:LTER,2013-10-21T23:00:00Z
knb-lter-pie.268.1,urn:node:LTER,2013-10-21T23:00:00Z
knb-lter-cap.83.9,urn:node:LTER,2013-10-30T23:00:00Z
knb-lter-cap.96.10,urn:node:LTER,2013-10-30T23:00:00Z
knb-lter-cap.81.9,urn:node:LTER,2013-10-30T23:00:00Z
