authoritativeMN,dateUploaded,identifier
urn:node:LTER,2005-07-29T23:00:00Z,knb-lter-vcr.48.21
urn:node:LTER,2005-07-29T23:00:00Z,knb-lter-pie.1.11
urn:node:LTER,2005-07-29T23:00:00Z,knb-lter-pie.6.4
urn:node:LTER,2005-07-29T23:00:00Z,knb-lter-sev.191.21209
urn:node:LTER,2005-08-14T23:00:00Z,knb-lter-and.3176.7
urn:node:LTER,2005-08-14T23:00:00Z,knb-lter-and.4047.9
urn:node:LTER,2005-07-27T23:00:00Z,knb-lter-and.3178.7
urn:node:LTER,2005-08-14T23:00:00Z,knb-lter-and.3126.7
urn:node:LTER,2005-07-27T23:00:00Z,knb-lter-kbs.19.26
urn:node:LTER,2005-07-29T23:00:00Z,knb-lter-sev.7.56185
urn:node:LTER,2005-07-27T23:00:00Z,knb-lter-ntl.24.11
urn:node:LTER,2005-07-27T23:00:00Z,knb-lter-ntl.23.11
urn:node:LTER,2005-07-29T23:00:00Z,knb-lter-arc.1125.2
urn:node:LTER,2005-07-29T23:00:00Z,knb-lter-arc.1129.2
urn:node:LTER,2005-07-27T23:00:00Z,knb-lter-arc.1128.2
urn:node:LTER,2005-07-27T23:00:00Z,knb-lter-arc.1138.2
urn:node:LTER,2005-07-27T23:00:00Z,knb-lter-arc.1133.2
urn:node:LTER,2005-07-27T23:00:00Z,knb-lter-arc.1135.2
urn:node:LTER,2005-07-27T23:00:00Z,knb-lter-arc.1134.2
urn:node:LTER,2005-07-27T23:00:00Z,knb-lter-arc.1132.2
urn:node:LTER,2005-07-27T23:00:00Z,knb-lter-arc.1123.2
urn:node:LTER,2005-07-27T23:00:00Z,knb-lter-arc.1131.2
urn:node:LTER,2005-07-27T23:00:00Z,knb-lter-arc.1126.2
urn:node:LTER,2005-07-29T23:00:00Z,knb-lter-arc.1136.2
urn:node:LTER,2005-07-27T23:00:00Z,knb-lter-arc.1141.2
urn:node:LTER,2005-07-27T23:00:00Z,knb-lter-arc.1147.2
urn:node:LTER,2005-07-27T23:00:00Z,knb-lter-arc.1140.2
urn:node:LTER,2005-07-27T23:00:00Z,knb-lter-arc.1148.2
urn:node:LTER,2005-07-27T23:00:00Z,knb-lter-arc.1137.2
urn:node:LTER,2005-07-27T23:00:00Z,knb-lter-arc.1144.2
urn:node:LTER,2005-07-27T23:00:00Z,knb-lter-arc.1146.2
urn:node:LTER,2005-07-27T23:00:00Z,knb-lter-arc.1156.2
urn:node:LTER,2005-07-27T23:00:00Z,knb-lter-arc.1154.2
urn:node:LTER,2005-07-27T23:00:00Z,knb-lter-arc.1149.2
urn:node:LTER,2005-07-27T23:00:00Z,knb-lter-arc.1151.2
urn:node:LTER,2005-07-27T23:00:00Z,knb-lter-arc.1153.2
urn:node:LTER,2005-07-27T23:00:00Z,knb-lter-arc.1152.2
urn:node:LTER,2005-07-27T23:00:00Z,knb-lter-arc.1150.2
urn:node:LTER,2005-07-29T23:00:00Z,knb-lter-arc.1157.2
urn:node:LTER,2005-07-27T23:00:00Z,knb-lter-arc.1164.2
urn:node:LTER,2005-07-27T23:00:00Z,knb-lter-arc.1160.2
urn:node:LTER,2005-07-27T23:00:00Z,knb-lter-arc.1163.2
