identifier,authoritativeMN,dateUploaded
knb-lter-ntl.137.8,urn:node:LTER,2006-09-12T23:00:00Z
knb-lter-ntl.136.8,urn:node:LTER,2006-09-12T23:00:00Z
knb-lter-hfr.87.15,urn:node:LTER,2006-03-14T00:00:00Z
knb-lter-hfr.88.14,urn:node:LTER,2006-03-14T00:00:00Z
knb-lter-hfr.110.14,urn:node:LTER,2006-03-15T00:00:00Z
knb-lter-ntl.140.10,urn:node:LTER,2006-09-12T23:00:00Z
knb-lter-ntl.141.15,urn:node:LTER,2006-09-12T23:00:00Z
knb-lter-ntl.143.10,urn:node:LTER,2006-09-12T23:00:00Z
knb-lter-ntl.142.8,urn:node:LTER,2006-09-12T23:00:00Z
knb-lter-ntl.144.10,urn:node:LTER,2006-09-12T23:00:00Z
knb-lter-ntl.177.16,urn:node:LTER,2006-11-28T00:00:00Z
knb-lter-mcm.4004.8,urn:node:LTER,2006-05-24T23:00:00Z
knb-lter-mcm.59.12,urn:node:LTER,2006-02-23T00:00:00Z
knb-lter-vcr.145.17,urn:node:LTER,2006-02-03T00:00:00Z
knb-lter-hfr.49.16,urn:node:LTER,2006-03-14T00:00:00Z
knb-lter-hfr.44.18,urn:node:LTER,2006-03-14T00:00:00Z
knb-lter-hfr.43.17,urn:node:LTER,2006-03-14T00:00:00Z
knb-lter-hfr.38.15,urn:node:LTER,2006-03-14T00:00:00Z
knb-lter-hfr.48.16,urn:node:LTER,2006-03-14T00:00:00Z
knb-lter-hfr.40.15,urn:node:LTER,2006-03-14T00:00:00Z
knb-lter-hfr.16.14,urn:node:LTER,2006-03-13T00:00:00Z
knb-lter-hfr.25.13,urn:node:LTER,2006-03-14T00:00:00Z
knb-lter-hfr.32.15,urn:node:LTER,2006-03-14T00:00:00Z
knb-lter-mcm.4001.7,urn:node:LTER,2006-05-22T23:00:00Z
knb-lter-hfr.20.13,urn:node:LTER,2006-03-13T00:00:00Z
knb-lter-hfr.23.13,urn:node:LTER,2006-03-14T00:00:00Z
knb-lter-hfr.24.13,urn:node:LTER,2006-03-14T00:00:00Z
knb-lter-hfr.7.19,urn:node:LTER,2006-03-13T00:00:00Z
knb-lter-hfr.8.18,urn:node:LTER,2006-03-13T00:00:00Z
knb-lter-bes.13.570,urn:node:LTER,2006-01-21T00:00:00Z
knb-lter-bes.11.570,urn:node:LTER,2006-07-28T23:00:00Z
knb-lter-hfr.17.17,urn:node:LTER,2006-03-13T00:00:00Z
knb-lter-hfr.10.15,urn:node:LTER,2006-03-13T00:00:00Z
knb-lter-bes.12.570,urn:node:LTER,2006-01-24T00:00:00Z
knb-lter-bes.110.570,urn:node:LTER,2006-12-20T00:00:00Z
