authoritativeMN,dateUploaded,identifier
urn:node:LTER,2006-02-04T00:00:00Z,doi:10.6073/AA/knb-lter-fce.262.5
urn:node:LTER,2006-09-12T23:00:00Z,knb-lter-ntl.157.9
urn:node:LTER,2006-02-23T00:00:00Z,knb-lter-mcm.19.5
urn:node:LTER,2006-02-23T00:00:00Z,knb-lter-mcm.9018.7
urn:node:LTER,2006-07-28T23:00:00Z,knb-lter-bes.40.570
urn:node:LTER,2006-01-21T00:00:00Z,doi:10.6073/AA/knb-lter-fce.179.5
urn:node:LTER,2006-01-15T00:00:00Z,doi:10.6073/AA/knb-lter-fce.152.5
urn:node:LTER,2006-01-15T00:00:00Z,doi:10.6073/AA/knb-lter-fce.162.5
urn:node:LTER,2006-09-12T23:00:00Z,knb-lter-ntl.141.15
urn:node:LTER,2006-02-01T00:00:00Z,doi:10.6073/AA/knb-lter-fce.244.5
urn:node:LTER,2006-12-20T00:00:00Z,knb-lter-bes.105.570
urn:node:LTER,2006-01-15T00:00:00Z,doi:10.6073/AA/knb-lter-fce.168.5
urn:node:LTER,2006-03-14T00:00:00Z,knb-lter-hfr.66.19
urn:node:LTER,2006-11-22T00:00:00Z,doi:10.6073/AA/knb-lter-nin.8230.4
urn:node:LTER,2006-07-28T23:00:00Z,knb-lter-bes.37.570
urn:node:LTER,2006-04-23T23:00:00Z,knb-lter-vcr.147.22
urn:node:LTER,2006-11-21T00:00:00Z,doi:10.6073/AA/knb-lter-nin.6161.4
urn:node:LTER,2006-01-15T00:00:00Z,doi:10.6073/AA/knb-lter-fce.152.5
urn:node:LTER,2006-02-23T00:00:00Z,knb-lter-mcm.63.6
urn:node:LTER,2006-07-28T23:00:00Z,knb-lter-bes.30.570
urn:node:LTER,2006-02-23T00:00:00Z,knb-lter-mcm.28.3
urn:node:LTER,2006-03-13T00:00:00Z,knb-lter-hfr.21.17
urn:node:LTER,2006-02-26T00:00:00Z,knb-lter-arc.1605.7
urn:node:LTER,2006-02-23T00:00:00Z,doi:10.6073/AA/knb-lter-mcm.33.2
urn:node:LTER,2006-02-23T00:00:00Z,knb-lter-mcm.38.4
urn:node:LTER,2006-09-12T23:00:00Z,knb-lter-ntl.141.15
urn:node:LTER,2006-02-01T00:00:00Z,doi:10.6073/AA/knb-lter-fce.248.5
urn:node:LTER,2006-02-23T00:00:00Z,knb-lter-mcm.56.9
urn:node:LTER,2006-03-14T00:00:00Z,knb-lter-hfr.49.16
urn:node:LTER,2006-01-08T00:00:00Z,knb-lter-bes.4.570
urn:node:LTER,2006-06-09T23:00:00Z,doi:10.6073/AA/knb-lter-mcm.258.3
urn:node:LTER,2006-12-20T00:00:00Z,knb-lter-bes.109.570
urn:node:LTER,2006-06-09T23:00:00Z,doi:10.6073/AA/knb-lter-mcm.239.3
urn:node:LTER,2006-06-09T23:00:00Z,doi:10.6073/AA/knb-lter-mcm.246.3
urn:node:LTER,2006-11-21T00:00:00Z,doi:10.6073/AA/knb-lter-nin.26392.4
urn:node:LTER,2006-09-12T23:00:00Z,knb-lter-ntl.121.8
urn:node:LTER,2006-11-28T00:00:00Z,knb-lter-ntl.129.9
urn:node:LTER,2006-05-08T23:00:00Z,doi:10.6073/AA/knb-lter-and.4012.5
urn:node:LTER,2006-03-14T00:00:00Z,knb-lter-hfr.44.18
urn:node:LTER,2006-02-23T00:00:00Z,doi:10.6073/AA/knb-lter-mcm.71.3
urn:node:LTER,2006-07-28T23:00:00Z,knb-lter-bes.30.570
urn:node:LTER,2006-02-25T00:00:00Z,knb-lter-mcm.9029.8
urn:node:LTER,2006-03-13T00:00:00Z,knb-lter-hfr.5.20
urn:node:LTER,2006-02-23T00:00:00Z,doi:10.6073/AA/knb-lter-mcm.54.3
urn:node:LTER,2006-06-09T23:00:00Z,doi:10.6073/AA/knb-lter-mcm.255.3
urn:node:LTER,2006-07-28T23:00:00Z,knb-lter-bes.49.570
urn:node:LTER,2006-02-01T00:00:00Z,doi:10.6073/AA/knb-lter-fce.251.5
urn:node:LTER,2006-03-13T00:00:00Z,knb-lter-hfr.7.19
urn:node:LTER,2006-09-12T23:00:00Z,knb-lter-ntl.141.15
urn:node:LTER,2006-03-30T00:00:00Z,knb-lter-mcm.7004.8
urn:node:LTER,2006-03-13T00:00:00Z,knb-lter-hfr.4.21
urn:node:LTER,2006-06-09T23:00:00Z,doi:10.6073/AA/knb-lter-mcm.226.4
urn:node:LTER,2006-11-21T00:00:00Z,doi:10.6073/AA/knb-lter-nin.26414.4
urn:node:LTER,2006-06-09T23:00:00Z,doi:10.6073/AA/knb-lter-mcm.249.3
urn:node:LTER,2006-01-27T00:00:00Z,doi:10.6073/AA/knb-lter-fce.219.6
urn:node:LTER,2006-03-30T00:00:00Z,doi:10.6073/AA/knb-lter-mcm.7001.2
urn:node:LTER,2006-01-25T00:00:00Z,doi:10.6073/AA/knb-lter-fce.190.5
urn:node:LTER,2006-01-25T00:00:00Z,doi:10.6073/AA/knb-lter-fce.204.5
urn:node:LTER,2006-09-12T23:00:00Z,knb-lter-ntl.142.8
urn:node:LTER,2006-11-22T00:00:00Z,doi:10.6073/AA/knb-lter-nin.22146.4
urn:node:LTER,2006-03-30T00:00:00Z,knb-lter-mcm.7016.8
urn:node:LTER,2006-01-13T00:00:00Z,knb-lter-vcr.104.16
urn:node:LTER,2006-08-09T23:00:00Z,knb-lter-bes.96.570
urn:node:LTER,2006-03-15T00:00:00Z,knb-lter-hfr.102.18
urn:node:LTER,2006-06-09T23:00:00Z,knb-lter-mcm.225.4
urn:node:LTER,2006-02-23T00:00:00Z,doi:10.6073/AA/knb-lter-mcm.70.3
urn:node:LTER,2006-07-28T23:00:00Z,knb-lter-bes.90.570
urn:node:LTER,2006-02-25T00:00:00Z,knb-lter-mcm.9027.8
urn:node:LTER,2006-02-01T00:00:00Z,doi:10.6073/AA/knb-lter-fce.244.5
urn:node:LTER,2006-01-25T00:00:00Z,doi:10.6073/AA/knb-lter-fce.185.5
urn:node:LTER,2006-03-29T00:00:00Z,doi:10.6073/AA/knb-lter-mcm.2011.3
urn:node:LTER,2006-02-23T00:00:00Z,knb-lter-mcm.9016.9
urn:node:LTER,2006-08-09T23:00:00Z,knb-lter-bes.96.570
urn:node:LTER,2006-02-01T00:00:00Z,doi:10.6073/AA/knb-lter-fce.249.5
urn:node:LTER,2006-07-28T23:00:00Z,knb-lter-bes.28.570
urn:node:LTER,2006-11-21T00:00:00Z,doi:10.6073/AA/knb-lter-nin.12131.4
urn:node:LTER,2006-03-28T00:00:00Z,doi:10.6073/AA/knb-lter-and.3989.3
urn:node:LTER,2006-11-21T00:00:00Z,doi:10.6073/AA/knb-lter-nin.18265.4
urn:node:LTER,2006-01-15T00:00:00Z,doi:10.6073/AA/knb-lter-fce.153.5
