authoritativeMN,dateUploaded,identifier
urn:node:LTER,2007-07-18T23:00:00Z,knb-lter-pie.129.5
urn:node:LTER,2007-09-26T23:00:00Z,knb-lter-pie.145.2
urn:node:LTER,2007-03-28T23:00:00Z,doi:10.6073/AA/knb-lter-cwt.3055.4
urn:node:LTER,2007-03-28T23:00:00Z,doi:10.6073/AA/knb-lter-cwt.3068.4
urn:node:LTER,2007-06-19T23:00:00Z,knb-lter-arc.1656.6
urn:node:LTER,2007-04-07T23:00:00Z,knb-lter-bnz.237.18
urn:node:LTER,2007-06-19T23:00:00Z,doi:10.6073/AA/knb-lter-arc.1613.6
urn:node:LTER,2007-11-08T00:00:00Z,doi:10.6073/AA/knb-lter-fce.294.6
urn:node:LTER,2007-06-19T23:00:00Z,knb-lter-arc.1621.8
urn:node:LTER,2007-07-18T23:00:00Z,knb-lter-pie.137.5
urn:node:LTER,2007-01-19T00:00:00Z,doi:10.6073/AA/knb-lter-nin.18665.3
urn:node:LTER,2007-04-07T23:00:00Z,knb-lter-bnz.232.18
urn:node:LTER,2007-06-19T23:00:00Z,knb-lter-arc.1631.8
urn:node:LTER,2007-03-28T23:00:00Z,doi:10.6073/AA/knb-lter-cwt.1106.4
urn:node:LTER,2007-02-01T00:00:00Z,knb-lter-bnz.182.18
urn:node:LTER,2007-06-19T23:00:00Z,doi:10.6073/AA/knb-lter-arc.1636.5
urn:node:LTER,2007-01-31T00:00:00Z,knb-lter-bnz.65.18
urn:node:LTER,2007-01-31T00:00:00Z,knb-lter-bnz.149.18
urn:node:LTER,2007-03-23T23:00:00Z,doi:10.6073/AA/knb-lter-cwt.1096.4
urn:node:LTER,2007-06-19T23:00:00Z,doi:10.6073/AA/knb-lter-arc.1617.6
urn:node:LTER,2007-07-12T23:00:00Z,knb-lter-bnz.221.18
urn:node:LTER,2007-07-25T23:00:00Z,knb-lter-ntl.212.5
urn:node:LTER,2007-06-19T23:00:00Z,knb-lter-arc.1657.3
urn:node:LTER,2007-03-29T23:00:00Z,doi:10.6073/AA/knb-lter-cwt.1039.4
urn:node:LTER,2007-03-28T23:00:00Z,doi:10.6073/AA/knb-lter-hbr.116.6
urn:node:LTER,2007-06-19T23:00:00Z,doi:10.6073/AA/knb-lter-arc.1640.5
urn:node:LTER,2007-01-31T00:00:00Z,knb-lter-bnz.64.20
urn:node:LTER,2007-06-25T23:00:00Z,knb-lter-ntl.128.6
urn:node:LTER,2007-06-19T23:00:00Z,knb-lter-arc.1644.7
urn:node:LTER,2007-06-19T23:00:00Z,knb-lter-arc.1622.8
urn:node:LTER,2007-04-07T23:00:00Z,knb-lter-bnz.231.18
urn:node:LTER,2007-06-19T23:00:00Z,knb-lter-arc.1620.8
urn:node:LTER,2007-06-19T23:00:00Z,doi:10.6073/AA/knb-lter-arc.1633.5
urn:node:LTER,2007-09-29T23:00:00Z,doi:10.6073/AA/knb-lter-and.4023.8
urn:node:LTER,2007-06-19T23:00:00Z,doi:10.6073/AA/knb-lter-arc.1639.5
urn:node:LTER,2007-10-04T23:00:00Z,knb-lter-pie.152.4
urn:node:LTER,2007-07-03T23:00:00Z,knb-lter-sev.15.25199
urn:node:LTER,2007-02-01T00:00:00Z,knb-lter-bnz.220.18
urn:node:LTER,2007-09-01T23:00:00Z,doi:10.6073/AA/knb-lter-and.4349.2
urn:node:LTER,2007-06-19T23:00:00Z,knb-lter-arc.1654.6
urn:node:LTER,2007-05-07T23:00:00Z,knb-lter-gce.297.20
urn:node:LTER,2007-03-28T23:00:00Z,doi:10.6073/AA/knb-lter-cwt.1107.4
urn:node:LTER,2007-03-28T23:00:00Z,doi:10.6073/AA/knb-lter-cwt.1105.4
urn:node:LTER,2007-06-19T23:00:00Z,knb-lter-arc.1632.8
urn:node:LTER,2007-07-18T23:00:00Z,knb-lter-pie.120.9
urn:node:LTER,2007-05-10T23:00:00Z,doi:10.6073/AA/knb-lter-hbr.123.3
urn:node:LTER,2007-02-01T00:00:00Z,knb-lter-bnz.228.20
urn:node:LTER,2007-03-28T23:00:00Z,doi:10.6073/AA/knb-lter-cwt.3059.4
