authoritativeMN,dateUploaded,identifier
urn:node:LTER,2007-09-17T23:00:00Z,knb-lter-vcr.151.18
urn:node:LTER,2007-09-17T23:00:00Z,knb-lter-vcr.152.20
urn:node:LTER,2007-07-10T23:00:00Z,knb-lter-sev.9.83868
urn:node:LTER,2007-07-18T23:00:00Z,knb-lter-pie.124.6
urn:node:LTER,2007-07-18T23:00:00Z,knb-lter-pie.132.5
urn:node:LTER,2007-12-22T00:00:00Z,knb-lter-and.4000.5
urn:node:LTER,2007-10-13T23:00:00Z,knb-lter-and.4547.5
urn:node:LTER,2007-08-25T23:00:00Z,knb-lter-and.4345.7
urn:node:LTER,2007-12-03T00:00:00Z,knb-lter-arc.10012.6
urn:node:LTER,2007-12-03T00:00:00Z,knb-lter-arc.10013.6
urn:node:LTER,2007-03-29T23:00:00Z,knb-lter-hfr.86.15
urn:node:LTER,2007-10-04T23:00:00Z,knb-lter-pie.155.4
urn:node:LTER,2007-10-04T23:00:00Z,knb-lter-pie.153.4
urn:node:LTER,2007-01-31T00:00:00Z,knb-lter-bnz.36.18
urn:node:LTER,2007-01-31T00:00:00Z,knb-lter-bnz.8.18
urn:node:LTER,2007-01-31T00:00:00Z,knb-lter-bnz.6.18
urn:node:LTER,2007-01-31T00:00:00Z,knb-lter-bnz.9.18
urn:node:LTER,2007-02-01T00:00:00Z,knb-lter-bnz.207.18
urn:node:LTER,2007-05-14T23:00:00Z,knb-lter-gce.300.21
urn:node:LTER,2007-01-23T00:00:00Z,knb-lter-nwt.415.10
urn:node:LTER,2007-01-23T00:00:00Z,knb-lter-nwt.411.7
urn:node:LTER,2007-07-03T23:00:00Z,knb-lter-sev.52.64066
urn:node:LTER,2007-07-03T23:00:00Z,knb-lter-sev.54.29724
urn:node:LTER,2007-09-26T23:00:00Z,knb-lter-mcm.4010.3
urn:node:LTER,2007-01-31T00:00:00Z,knb-lter-bnz.11.18
urn:node:LTER,2007-01-31T00:00:00Z,knb-lter-bnz.116.18
urn:node:LTER,2007-04-07T23:00:00Z,knb-lter-bnz.236.18
urn:node:LTER,2007-04-07T23:00:00Z,knb-lter-bnz.233.18
urn:node:LTER,2007-04-07T23:00:00Z,knb-lter-bnz.238.18
urn:node:LTER,2007-06-19T23:00:00Z,knb-lter-arc.1655.5
urn:node:LTER,2007-05-07T23:00:00Z,knb-lter-gce.296.21
urn:node:LTER,2007-01-30T00:00:00Z,knb-lter-gce.290.20
