authoritativeMN,dateUploaded,identifier
urn:node:LTER,2010-01-01T00:00:00Z,knb-lter-bes.262.570
urn:node:LTER,2010-01-08T00:00:00Z,knb-lter-bes.432.320
urn:node:LTER,2010-06-18T23:00:00Z,doi:10.6073/AA/knb-lter-cdr.141122.123
urn:node:LTER,2010-06-21T23:00:00Z,doi:10.6073/AA/knb-lter-cdr.56141.121
urn:node:LTER,2010-09-29T23:00:00Z,knb-lter-bes.560.56
urn:node:LTER,2010-01-01T00:00:00Z,knb-lter-bes.342.570
urn:node:LTER,2010-05-19T23:00:00Z,knb-lter-bnz.447.14
urn:node:LTER,2010-04-21T23:00:00Z,knb-lter-arc.10099.3
urn:node:LTER,2010-01-14T00:00:00Z,doi:10.6073/AA/knb-lter-pie.163.1
urn:node:LTER,2010-01-01T00:00:00Z,knb-lter-bes.280.570
urn:node:LTER,2010-06-16T23:00:00Z,knb-lter-bes.543.56
urn:node:LTER,2010-06-24T23:00:00Z,doi:10.6073/AA/knb-lter-cdr.63002.123
urn:node:LTER,2010-06-18T23:00:00Z,doi:10.6073/AA/knb-lter-cdr.117141.123
urn:node:LTER,2010-06-16T23:00:00Z,knb-lter-pie.176.2
urn:node:LTER,2010-09-29T23:00:00Z,knb-lter-bes.572.56
urn:node:LTER,2010-02-12T00:00:00Z,knb-lter-bnz.407.14
urn:node:LTER,2010-01-01T00:00:00Z,knb-lter-bes.330.570
urn:node:LTER,2010-01-01T00:00:00Z,knb-lter-bes.328.570
urn:node:LTER,2010-06-21T23:00:00Z,doi:10.6073/AA/knb-lter-cdr.56141.121
urn:node:LTER,2010-11-28T00:00:00Z,knb-lter-gce.330.20
urn:node:LTER,2010-03-02T00:00:00Z,knb-lter-arc.10073.4
urn:node:LTER,2010-01-23T00:00:00Z,knb-lter-arc.10040.4
urn:node:LTER,2010-04-21T23:00:00Z,knb-lter-arc.10097.4
urn:node:LTER,2010-11-01T23:00:00Z,doi:10.6073/AA/knb-lter-fce.445.5
urn:node:LTER,2010-02-10T00:00:00Z,doi:10.6073/AA/knb-lter-cce.17.3
urn:node:LTER,2010-05-19T23:00:00Z,knb-lter-bnz.439.14
urn:node:LTER,2010-12-09T00:00:00Z,knb-lter-bnz.452.15
urn:node:LTER,2010-01-01T00:00:00Z,knb-lter-bes.373.570
urn:node:LTER,2010-01-01T00:00:00Z,knb-lter-bes.247.570
urn:node:LTER,2010-01-01T00:00:00Z,knb-lter-bes.144.570
urn:node:LTER,2010-01-01T00:00:00Z,knb-lter-bes.377.570
urn:node:LTER,2010-01-01T00:00:00Z,knb-lter-bes.129.570
urn:node:LTER,2010-09-29T23:00:00Z,knb-lter-bes.559.56
urn:node:LTER,2010-01-01T00:00:00Z,knb-lter-bes.360.570
urn:node:LTER,2010-01-01T00:00:00Z,knb-lter-bes.284.570
urn:node:LTER,2010-01-01T00:00:00Z,knb-lter-bes.269.570
urn:node:LTER,2010-05-19T23:00:00Z,knb-lter-bnz.451.15
urn:node:LTER,2010-01-01T00:00:00Z,knb-lter-bes.179.570
urn:node:LTER,2010-02-12T00:00:00Z,knb-lter-bnz.422.14
urn:node:LTER,2010-02-03T00:00:00Z,doi:10.6073/AA/knb-lter-kbs.77.15
urn:node:LTER,2010-01-01T00:00:00Z,knb-lter-bes.247.570
urn:node:LTER,2010-01-23T00:00:00Z,knb-lter-arc.10045.4
urn:node:LTER,2010-01-01T00:00:00Z,knb-lter-bes.151.570
urn:node:LTER,2010-02-03T00:00:00Z,knb-lter-kbs.46.23
urn:node:LTER,2010-01-01T00:00:00Z,knb-lter-bes.305.570
urn:node:LTER,2010-03-06T00:00:00Z,knb-lter-bes.500.320
urn:node:LTER,2010-01-24T00:00:00Z,knb-lter-arc.10057.4
urn:node:LTER,2010-01-14T00:00:00Z,doi:10.6073/AA/knb-lter-pie.170.1
urn:node:LTER,2010-02-10T00:00:00Z,doi:10.6073/AA/knb-lter-cce.171.3
urn:node:LTER,2010-01-14T00:00:00Z,doi:10.6073/AA/knb-lter-pie.169.1
urn:node:LTER,2010-03-22T23:00:00Z,doi:10.6073/AA/knb-lter-arc.10088.1
urn:node:LTER,2010-01-09T00:00:00Z,knb-lter-bes.466.56
urn:node:LTER,2010-01-01T00:00:00Z,knb-lter-bes.349.570
urn:node:LTER,2010-01-23T00:00:00Z,doi:10.6073/AA/knb-lter-arc.10032.2
urn:node:LTER,2010-02-03T00:00:00Z,knb-lter-kbs.52.23
urn:node:LTER,2010-06-21T23:00:00Z,doi:10.6073/AA/knb-lter-cdr.93015.123
urn:node:LTER,2010-06-18T23:00:00Z,doi:10.6073/AA/knb-lter-cdr.127141.123
urn:node:LTER,2010-03-22T23:00:00Z,knb-lter-arc.10091.4
urn:node:LTER,2010-05-19T23:00:00Z,knb-lter-bnz.437.14
urn:node:LTER,2010-06-18T23:00:00Z,doi:10.6073/AA/knb-lter-cdr.125141.123
urn:node:LTER,2010-01-01T00:00:00Z,knb-lter-bes.122.570
urn:node:LTER,2010-01-27T00:00:00Z,knb-lter-mcm.4013.3
urn:node:LTER,2010-03-02T00:00:00Z,knb-lter-arc.10075.4
urn:node:LTER,2010-03-02T00:00:00Z,knb-lter-arc.10081.4
urn:node:LTER,2010-01-01T00:00:00Z,knb-lter-bes.317.570
urn:node:LTER,2010-06-18T23:00:00Z,doi:10.6073/AA/knb-lter-cdr.118014.123
urn:node:LTER,2010-01-01T00:00:00Z,knb-lter-bes.151.570
urn:node:LTER,2010-09-29T23:00:00Z,knb-lter-bes.559.56
urn:node:LTER,2010-01-01T00:00:00Z,knb-lter-bes.354.570
urn:node:LTER,2010-09-29T23:00:00Z,knb-lter-bes.554.56
urn:node:LTER,2010-06-22T23:00:00Z,doi:10.6073/AA/knb-lter-fce.429.5
urn:node:LTER,2010-06-18T23:00:00Z,doi:10.6073/AA/knb-lter-cdr.118141.123
urn:node:LTER,2010-01-01T00:00:00Z,knb-lter-bes.268.570
urn:node:LTER,2010-11-19T00:00:00Z,knb-lter-sbc.2007.8
urn:node:LTER,2010-07-13T23:00:00Z,knb-lter-bes.548.56
urn:node:LTER,2010-02-12T00:00:00Z,knb-lter-bnz.416.14
urn:node:LTER,2010-01-01T00:00:00Z,knb-lter-bes.281.570
urn:node:LTER,2010-01-01T00:00:00Z,knb-lter-bes.344.570
urn:node:LTER,2010-09-09T23:00:00Z,doi:10.6073/AA/knb-lter-fce.432.6
urn:node:LTER,2010-05-19T23:00:00Z,knb-lter-bnz.441.14
urn:node:LTER,2010-01-01T00:00:00Z,knb-lter-bes.256.570
urn:node:LTER,2010-01-01T00:00:00Z,knb-lter-bes.305.570
urn:node:LTER,2010-08-06T23:00:00Z,knb-lter-sbc.35.6
urn:node:LTER,2010-11-04T23:00:00Z,doi:10.6073/AA/obrien_test_mcr.31.3
urn:node:LTER,2010-02-12T00:00:00Z,knb-lter-bnz.408.14
urn:node:LTER,2010-01-08T00:00:00Z,knb-lter-bes.449.56
urn:node:LTER,2010-01-14T00:00:00Z,doi:10.6073/AA/knb-lter-pie.165.1
urn:node:LTER,2010-01-05T00:00:00Z,knb-lter-bes.402.56
urn:node:LTER,2010-01-24T00:00:00Z,knb-lter-arc.10058.4
urn:node:LTER,2010-08-06T23:00:00Z,knb-lter-sbc.34.11
urn:node:LTER,2010-01-01T00:00:00Z,knb-lter-bes.356.570
urn:node:LTER,2010-05-19T23:00:00Z,knb-lter-bnz.435.14
urn:node:LTER,2010-06-18T23:00:00Z,doi:10.6073/AA/knb-lter-cdr.138122.123
urn:node:LTER,2010-01-24T00:00:00Z,knb-lter-arc.10059.5
urn:node:LTER,2010-06-18T23:00:00Z,doi:10.6073/AA/knb-lter-cdr.122141.123
urn:node:LTER,2010-11-01T23:00:00Z,doi:10.6073/AA/knb-lter-fce.447.5
urn:node:LTER,2010-01-23T00:00:00Z,doi:10.6073/AA/knb-lter-arc.10044.2
urn:node:LTER,2010-01-01T00:00:00Z,knb-lter-bes.306.570
urn:node:LTER,2010-06-24T23:00:00Z,doi:10.6073/AA/knb-lter-cdr.36120.123
urn:node:LTER,2010-05-04T23:00:00Z,knb-lter-bes.529.56
urn:node:LTER,2010-01-01T00:00:00Z,knb-lter-bes.347.570
urn:node:LTER,2010-01-27T00:00:00Z,knb-lter-bes.476.120
urn:node:LTER,2010-01-09T00:00:00Z,knb-lter-bes.465.56
urn:node:LTER,2010-06-21T23:00:00Z,doi:10.6073/AA/knb-lter-cdr.88093.123
urn:node:LTER,2010-01-08T00:00:00Z,knb-lter-bes.449.56
urn:node:LTER,2010-01-27T00:00:00Z,knb-lter-bes.476.120
urn:node:LTER,2010-02-12T00:00:00Z,knb-lter-bnz.400.14
urn:node:LTER,2010-01-05T00:00:00Z,knb-lter-bes.412.56
urn:node:LTER,2010-03-22T23:00:00Z,knb-lter-arc.10092.4
urn:node:LTER,2010-09-29T23:00:00Z,knb-lter-bes.572.56
urn:node:LTER,2010-02-05T00:00:00Z,knb-lter-bes.480.56
urn:node:LTER,2010-02-27T00:00:00Z,knb-lter-bes.482.120
urn:node:LTER,2010-11-14T00:00:00Z,knb-lter-gce.322.25
urn:node:LTER,2010-01-01T00:00:00Z,knb-lter-bes.312.570
urn:node:LTER,2010-01-27T00:00:00Z,knb-lter-bes.467.56
urn:node:LTER,2010-01-01T00:00:00Z,knb-lter-bes.154.570
urn:node:LTER,2010-01-05T00:00:00Z,knb-lter-bes.412.56
urn:node:LTER,2010-04-21T23:00:00Z,knb-lter-arc.10095.3
urn:node:LTER,2010-06-24T23:00:00Z,doi:10.6073/AA/knb-lter-cdr.36112.123
urn:node:LTER,2010-02-03T00:00:00Z,knb-lter-kbs.54.16
urn:node:LTER,2010-01-09T00:00:00Z,knb-lter-bes.464.120
urn:node:LTER,2010-06-16T23:00:00Z,knb-lter-pie.177.2
urn:node:LTER,2010-01-23T00:00:00Z,knb-lter-arc.10047.4
urn:node:LTER,2010-02-12T00:00:00Z,knb-lter-bnz.418.14
urn:node:LTER,2010-03-02T00:00:00Z,knb-lter-arc.10064.3
urn:node:LTER,2010-01-01T00:00:00Z,knb-lter-bes.239.570
urn:node:LTER,2010-03-02T00:00:00Z,knb-lter-arc.10081.4
urn:node:LTER,2010-01-01T00:00:00Z,knb-lter-bes.260.570
urn:node:LTER,2010-03-06T00:00:00Z,knb-lter-bes.501.320
urn:node:LTER,2010-02-03T00:00:00Z,knb-lter-kbs.71.16
urn:node:LTER,2010-03-05T00:00:00Z,knb-lter-kbs.45.24
urn:node:LTER,2010-06-02T23:00:00Z,knb-lter-bnz.430.14
urn:node:LTER,2010-01-05T00:00:00Z,knb-lter-bes.402.56
urn:node:LTER,2010-01-27T00:00:00Z,knb-lter-bes.471.56
urn:node:LTER,2010-02-09T00:00:00Z,doi:10.6073/AA/knb-lter-fce.413.6
urn:node:LTER,2010-02-12T00:00:00Z,knb-lter-bnz.418.14
urn:node:LTER,2010-06-16T23:00:00Z,knb-lter-bes.543.56
urn:node:LTER,2010-06-18T23:00:00Z,doi:10.6073/AA/knb-lter-cdr.101153.123
urn:node:LTER,2010-01-01T00:00:00Z,knb-lter-bes.293.570
urn:node:LTER,2010-01-01T00:00:00Z,knb-lter-bes.305.570
urn:node:LTER,2010-01-08T00:00:00Z,knb-lter-bes.446.56
urn:node:LTER,2010-01-01T00:00:00Z,knb-lter-bes.136.570
urn:node:LTER,2010-03-05T00:00:00Z,knb-lter-kbs.45.24
urn:node:LTER,2010-02-05T00:00:00Z,knb-lter-bes.480.56
urn:node:LTER,2010-06-16T23:00:00Z,knb-lter-bes.545.56
urn:node:LTER,2010-04-21T23:00:00Z,knb-lter-arc.10101.4
urn:node:LTER,2010-06-18T23:00:00Z,doi:10.6073/AA/knb-lter-cdr.125141.123
