identifier,authoritativeMN,dateUploaded
knb-lter-bes.133.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.139.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.134.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.137.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.138.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.135.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.131.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.130.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.147.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.298.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.291.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.292.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.294.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.297.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.290.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.366.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.368.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.367.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.369.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.370.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.372.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.374.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.296.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.351.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.375.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.487.320,urn:node:LTER,2010-03-06T00:00:00Z
knb-lter-bes.483.120,urn:node:LTER,2010-02-27T00:00:00Z
knb-lter-bes.484.120,urn:node:LTER,2010-02-27T00:00:00Z
knb-lter-bes.168.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.148.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.157.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.155.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.142.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.141.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.140.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.153.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.150.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.149.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.143.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.322.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.304.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.274.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.313.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.267.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.332.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.438.320,urn:node:LTER,2010-01-08T00:00:00Z
knb-lter-bes.441.320,urn:node:LTER,2010-01-08T00:00:00Z
knb-lter-bes.440.320,urn:node:LTER,2010-01-08T00:00:00Z
knb-lter-bes.437.320,urn:node:LTER,2010-01-08T00:00:00Z
knb-lter-bes.439.320,urn:node:LTER,2010-01-08T00:00:00Z
knb-lter-bes.277.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.278.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.271.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.276.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.272.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.279.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.270.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.333.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.321.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.325.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.323.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.324.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.376.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.378.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.442.320,urn:node:LTER,2010-01-08T00:00:00Z
knb-lter-bes.455.320,urn:node:LTER,2010-01-08T00:00:00Z
knb-lter-bes.460.120,urn:node:LTER,2010-01-08T00:00:00Z
knb-lter-bes.461.120,urn:node:LTER,2010-01-08T00:00:00Z
knb-lter-bes.523.120,urn:node:LTER,2010-03-06T00:00:00Z
knb-lter-bes.524.120,urn:node:LTER,2010-03-06T00:00:00Z
knb-lter-bes.521.120,urn:node:LTER,2010-03-06T00:00:00Z
knb-lter-bes.494.320,urn:node:LTER,2010-03-06T00:00:00Z
knb-lter-bes.493.320,urn:node:LTER,2010-03-06T00:00:00Z
knb-lter-bes.492.320,urn:node:LTER,2010-03-06T00:00:00Z
knb-lter-bes.491.320,urn:node:LTER,2010-03-06T00:00:00Z
knb-lter-bes.178.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.237.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.235.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.236.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.238.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.240.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.242.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.241.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.316.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.319.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.314.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.315.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.309.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.350.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.353.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.346.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.348.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.403.120,urn:node:LTER,2010-01-05T00:00:00Z
knb-lter-bes.496.320,urn:node:LTER,2010-03-06T00:00:00Z
knb-lter-bes.497.320,urn:node:LTER,2010-03-06T00:00:00Z
knb-lter-bes.498.320,urn:node:LTER,2010-03-06T00:00:00Z
knb-lter-bes.495.320,urn:node:LTER,2010-03-06T00:00:00Z
knb-lter-bes.206.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.205.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.249.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.243.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.251.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.244.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.250.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.282.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.285.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.287.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.286.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.289.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.364.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.365.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.361.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.362.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.358.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.355.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.363.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.253.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.433.320,urn:node:LTER,2010-01-08T00:00:00Z
knb-lter-bes.434.320,urn:node:LTER,2010-01-08T00:00:00Z
knb-lter-bes.436.320,urn:node:LTER,2010-01-08T00:00:00Z
knb-lter-bes.180.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.215.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.255.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.258.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.252.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.259.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.254.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.299.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.300.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.302.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.307.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.343.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.341.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.338.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.463.120,urn:node:LTER,2010-01-08T00:00:00Z
knb-lter-bes.462.120,urn:node:LTER,2010-01-08T00:00:00Z
knb-lter-bes.499.320,urn:node:LTER,2010-03-06T00:00:00Z
knb-lter-bes.520.120,urn:node:LTER,2010-03-06T00:00:00Z
knb-lter-bes.519.120,urn:node:LTER,2010-03-06T00:00:00Z
knb-lter-bes.263.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.264.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.265.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.266.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.335.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-bes.336.570,urn:node:LTER,2010-01-01T00:00:00Z
knb-lter-hfr.161.11,urn:node:LTER,2010-07-16T23:00:00Z
knb-lter-pie.173.3,urn:node:LTER,2010-01-28T00:00:00Z
knb-lter-pie.174.3,urn:node:LTER,2010-01-28T00:00:00Z
knb-lter-arc.10052.4,urn:node:LTER,2010-01-23T00:00:00Z
knb-lter-bnz.440.14,urn:node:LTER,2010-05-19T23:00:00Z
knb-lter-bnz.436.14,urn:node:LTER,2010-05-19T23:00:00Z
knb-lter-bnz.438.14,urn:node:LTER,2010-05-19T23:00:00Z
knb-lter-bnz.442.14,urn:node:LTER,2010-05-19T23:00:00Z
knb-lter-bnz.453.14,urn:node:LTER,2010-12-09T00:00:00Z
