authoritativeMN,dateUploaded,identifier
urn:node:LTER,2014-03-27T23:00:00Z,knb-lter-pie.301.1
urn:node:LTER,2014-03-27T23:00:00Z,knb-lter-pie.311.1
urn:node:LTER,2014-11-25T00:00:00Z,knb-lter-and.5215.11
urn:node:LTER,2014-03-07T00:00:00Z,knb-lter-fce.1183.4
urn:node:LTER,2014-01-14T00:00:00Z,knb-lter-arc.10499.2
urn:node:LTER,2014-01-22T00:00:00Z,knb-lter-arc.10514.2
urn:node:LTER,2014-04-03T23:00:00Z,knb-lter-pie.337.1
urn:node:LTER,2014-10-23T23:00:00Z,knb-lter-arc.20006.2
urn:node:LTER,2014-06-24T23:00:00Z,knb-lter-bnz.540.3
urn:node:LTER,2014-06-17T23:00:00Z,knb-lter-bnz.572.3
urn:node:LTER,2014-03-27T23:00:00Z,knb-lter-pie.294.2
urn:node:LTER,2014-05-01T23:00:00Z,knb-lter-mcm.4016.2
urn:node:LTER,2014-03-25T23:00:00Z,knb-lter-sbc.74.2
urn:node:LTER,2014-02-04T00:00:00Z,knb-lter-arc.10524.2
urn:node:LTER,2014-10-24T23:00:00Z,knb-lter-arc.10530.1
urn:node:LTER,2014-04-30T23:00:00Z,knb-lter-gce.446.2
urn:node:LTER,2014-10-23T23:00:00Z,knb-lter-arc.20030.1
urn:node:LTER,2014-06-02T23:00:00Z,knb-lter-gce.458.16
urn:node:LTER,2014-06-17T23:00:00Z,knb-lter-bnz.546.4
urn:node:LTER,2014-04-30T23:00:00Z,knb-lter-gce.450.10
urn:node:LTER,2014-01-22T00:00:00Z,knb-lter-arc.10519.2
urn:node:LTER,2014-06-17T23:00:00Z,knb-lter-bnz.575.3
urn:node:LTER,2014-12-23T00:00:00Z,knb-lter-fce.1198.2
urn:node:LTER,2014-10-23T23:00:00Z,knb-lter-arc.20016.4
urn:node:LTER,2014-03-27T23:00:00Z,knb-lter-pie.328.1
urn:node:LTER,2014-06-09T23:00:00Z,knb-lter-mcr.2009.1
urn:node:LTER,2014-10-08T23:00:00Z,knb-lter-mcm.7020.1
urn:node:LTER,2014-01-22T00:00:00Z,knb-lter-arc.10515.2
urn:node:LTER,2014-03-27T23:00:00Z,knb-lter-pie.291.2
urn:node:LTER,2014-03-27T23:00:00Z,knb-lter-pie.315.1
urn:node:LTER,2014-06-17T23:00:00Z,knb-lter-bnz.512.6
urn:node:LTER,2014-06-17T23:00:00Z,knb-lter-bnz.551.3
urn:node:LTER,2014-06-17T23:00:00Z,knb-lter-bnz.551.3
urn:node:LTER,2014-04-26T23:00:00Z,knb-lter-cap.578.1
urn:node:LTER,2014-12-23T00:00:00Z,knb-lter-fce.1198.2
urn:node:LTER,2014-09-22T23:00:00Z,knb-lter-gce.459.4
urn:node:LTER,2014-03-27T23:00:00Z,knb-lter-pie.332.1
urn:node:LTER,2014-04-23T23:00:00Z,knb-lter-mcr.5013.1
urn:node:LTER,2014-05-28T23:00:00Z,knb-lter-and.5316.4
urn:node:LTER,2014-05-01T23:00:00Z,knb-lter-pie.344.3
urn:node:LTER,2014-04-26T23:00:00Z,knb-lter-cap.579.1
urn:node:LTER,2014-03-07T00:00:00Z,knb-lter-fce.1185.3
urn:node:LTER,2014-03-27T23:00:00Z,knb-lter-pie.292.2
urn:node:LTER,2014-03-27T23:00:00Z,knb-lter-pie.306.1
urn:node:LTER,2014-04-30T23:00:00Z,knb-lter-gce.447.2
urn:node:LTER,2014-03-27T23:00:00Z,knb-lter-pie.305.1
urn:node:LTER,2014-04-23T23:00:00Z,knb-lter-mcr.5013.1
urn:node:LTER,2014-05-28T23:00:00Z,knb-lter-and.4789.6
