identifier,authoritativeMN,dateUploaded
knb-lter-hfr.152.6,urn:node:LTER,2009-10-21T23:00:00Z
knb-lter-hfr.123.9,urn:node:LTER,2009-04-01T23:00:00Z
knb-lter-hfr.148.8,urn:node:LTER,2009-09-16T23:00:00Z
knb-lter-vcr.173.16,urn:node:LTER,2009-08-27T23:00:00Z
knb-lter-vcr.172.16,urn:node:LTER,2009-08-27T23:00:00Z
knb-lter-bes.123.570,urn:node:LTER,2009-12-27T00:00:00Z
knb-lter-bes.116.570,urn:node:LTER,2009-12-27T00:00:00Z
knb-lter-bes.117.570,urn:node:LTER,2009-12-27T00:00:00Z
knb-lter-hfr.54.19,urn:node:LTER,2009-04-29T23:00:00Z
knb-lter-bes.124.570,urn:node:LTER,2009-12-27T00:00:00Z
knb-lter-bes.127.570,urn:node:LTER,2009-12-27T00:00:00Z
knb-lter-bes.126.570,urn:node:LTER,2009-12-27T00:00:00Z
knb-lter-bes.125.570,urn:node:LTER,2009-12-27T00:00:00Z
knb-lter-hfr.151.12,urn:node:LTER,2009-09-16T23:00:00Z
knb-lter-bes.326.570,urn:node:LTER,2009-12-31T00:00:00Z
knb-lter-bes.327.570,urn:node:LTER,2009-12-31T00:00:00Z
knb-lter-bes.380.570,urn:node:LTER,2009-12-31T00:00:00Z
knb-lter-bes.382.570,urn:node:LTER,2009-12-31T00:00:00Z
knb-lter-bes.381.570,urn:node:LTER,2009-12-31T00:00:00Z
knb-lter-bes.384.570,urn:node:LTER,2009-12-31T00:00:00Z
knb-lter-bes.383.570,urn:node:LTER,2009-12-31T00:00:00Z
knb-lter-bes.385.570,urn:node:LTER,2009-12-31T00:00:00Z
knb-lter-bes.128.570,urn:node:LTER,2009-12-27T00:00:00Z
knb-lter-bes.428.220,urn:node:LTER,2009-12-31T00:00:00Z
knb-lter-bes.417.120,urn:node:LTER,2009-12-31T00:00:00Z
knb-lter-bes.407.120,urn:node:LTER,2009-12-31T00:00:00Z
knb-lter-bes.410.120,urn:node:LTER,2009-12-31T00:00:00Z
knb-lter-bes.339.570,urn:node:LTER,2009-12-31T00:00:00Z
knb-lter-bes.340.570,urn:node:LTER,2009-12-31T00:00:00Z
knb-lter-bes.386.570,urn:node:LTER,2009-12-31T00:00:00Z
knb-lter-bes.387.570,urn:node:LTER,2009-12-31T00:00:00Z
knb-lter-bes.389.570,urn:node:LTER,2009-12-31T00:00:00Z
knb-lter-bes.388.570,urn:node:LTER,2009-12-31T00:00:00Z
knb-lter-bes.390.570,urn:node:LTER,2009-12-31T00:00:00Z
knb-lter-hfr.150.11,urn:node:LTER,2009-09-16T23:00:00Z
knb-lter-arc.10026.5,urn:node:LTER,2009-07-02T23:00:00Z
knb-lter-pie.159.6,urn:node:LTER,2009-02-26T00:00:00Z
knb-lter-arc.10025.5,urn:node:LTER,2009-07-02T23:00:00Z
knb-lter-arc.10020.5,urn:node:LTER,2009-02-03T00:00:00Z
knb-lter-sev.203.35121,urn:node:LTER,2009-06-25T23:00:00Z
knb-lter-arc.10029.4,urn:node:LTER,2009-10-30T23:00:00Z
knb-lter-arc.10021.5,urn:node:LTER,2009-02-03T00:00:00Z
knb-lter-bnz.397.16,urn:node:LTER,2009-08-26T23:00:00Z
knb-lter-bnz.398.17,urn:node:LTER,2009-08-26T23:00:00Z
knb-lter-bnz.399.16,urn:node:LTER,2009-10-08T23:00:00Z
knb-lter-bnz.396.16,urn:node:LTER,2009-08-26T23:00:00Z
knb-lter-bnz.394.16,urn:node:LTER,2009-08-26T23:00:00Z
knb-lter-bnz.341.19,urn:node:LTER,2009-03-05T00:00:00Z
knb-lter-bnz.372.18,urn:node:LTER,2009-04-01T23:00:00Z
knb-lter-vcr.160.16,urn:node:LTER,2009-08-27T23:00:00Z
knb-lter-vcr.161.16,urn:node:LTER,2009-08-27T23:00:00Z
knb-lter-vcr.158.15,urn:node:LTER,2009-08-27T23:00:00Z
knb-lter-vcr.159.15,urn:node:LTER,2009-08-27T23:00:00Z
knb-lter-hfr.127.10,urn:node:LTER,2009-04-29T23:00:00Z
knb-lter-hfr.80.15,urn:node:LTER,2009-04-29T23:00:00Z
knb-lter-vcr.176.14,urn:node:LTER,2009-08-20T23:00:00Z
knb-lter-sev.168.93066,urn:node:LTER,2009-08-13T23:00:00Z
knb-lter-vcr.170.16,urn:node:LTER,2009-08-27T23:00:00Z
knb-lter-vcr.175.13,urn:node:LTER,2009-08-20T23:00:00Z
knb-lter-hfr.128.8,urn:node:LTER,2009-04-29T23:00:00Z
knb-lter-vcr.166.14,urn:node:LTER,2009-07-23T23:00:00Z
knb-lter-sev.153.26856,urn:node:LTER,2009-10-29T23:00:00Z
knb-lter-hfr.147.16,urn:node:LTER,2009-09-23T23:00:00Z
knb-lter-gce.317.18,urn:node:LTER,2009-10-16T23:00:00Z
knb-lter-hfr.113.48,urn:node:LTER,2009-01-29T00:00:00Z
knb-lter-sbc.28.21,urn:node:LTER,2009-07-11T23:00:00Z
knb-lter-sbc.25.16,urn:node:LTER,2009-07-11T23:00:00Z
knb-lter-sbc.27.15,urn:node:LTER,2009-07-11T23:00:00Z
knb-lter-ntl.245.4,urn:node:LTER,2009-04-28T23:00:00Z
knb-lter-sbc.30.13,urn:node:LTER,2009-08-24T23:00:00Z
knb-lter-sbc.26.14,urn:node:LTER,2009-07-11T23:00:00Z
knb-lter-sbc.29.13,urn:node:LTER,2009-07-11T23:00:00Z
knb-lter-vcr.171.17,urn:node:LTER,2009-08-27T23:00:00Z
knb-lter-hfr.155.9,urn:node:LTER,2009-12-24T00:00:00Z
knb-lter-sbc.1209.5,urn:node:LTER,2009-08-11T23:00:00Z
knb-lter-sbc.1207.5,urn:node:LTER,2009-08-11T23:00:00Z
knb-lter-sbc.1208.5,urn:node:LTER,2009-08-11T23:00:00Z
knb-lter-sbc.1206.5,urn:node:LTER,2009-08-11T23:00:00Z
knb-lter-sbc.1213.5,urn:node:LTER,2009-08-11T23:00:00Z
knb-lter-sbc.1211.5,urn:node:LTER,2009-08-11T23:00:00Z
knb-lter-sbc.1210.5,urn:node:LTER,2009-08-11T23:00:00Z
knb-lter-sbc.1214.5,urn:node:LTER,2009-08-11T23:00:00Z
knb-lter-sbc.1215.5,urn:node:LTER,2009-08-11T23:00:00Z
knb-lter-sbc.1216.5,urn:node:LTER,2009-08-11T23:00:00Z
knb-lter-sbc.1205.5,urn:node:LTER,2009-08-11T23:00:00Z
knb-lter-sbc.24.15,urn:node:LTER,2009-07-11T23:00:00Z
knb-lter-sbc.3011.6,urn:node:LTER,2009-05-31T23:00:00Z
knb-lter-sbc.3009.6,urn:node:LTER,2009-05-31T23:00:00Z
knb-lter-sbc.3012.5,urn:node:LTER,2009-05-31T23:00:00Z
knb-lter-sbc.5002.5,urn:node:LTER,2009-05-31T23:00:00Z
knb-lter-sbc.5001.5,urn:node:LTER,2009-05-31T23:00:00Z
knb-lter-sbc.1009.6,urn:node:LTER,2009-05-31T23:00:00Z
knb-lter-sbc.1007.6,urn:node:LTER,2009-05-31T23:00:00Z
knb-lter-sbc.1011.6,urn:node:LTER,2009-05-31T23:00:00Z
knb-lter-sbc.1010.6,urn:node:LTER,2009-05-31T23:00:00Z
knb-lter-vcr.174.17,urn:node:LTER,2009-08-27T23:00:00Z
knb-lter-bnz.376.16,urn:node:LTER,2009-04-01T23:00:00Z
knb-lter-bnz.377.16,urn:node:LTER,2009-04-01T23:00:00Z
knb-lter-bnz.374.16,urn:node:LTER,2009-04-01T23:00:00Z
knb-lter-bnz.375.16,urn:node:LTER,2009-04-01T23:00:00Z
knb-lter-bnz.373.16,urn:node:LTER,2009-04-01T23:00:00Z
knb-lter-arc.1661.5,urn:node:LTER,2009-05-18T23:00:00Z
knb-lter-bnz.379.19,urn:node:LTER,2009-08-26T23:00:00Z
knb-lter-bnz.355.16,urn:node:LTER,2009-03-05T00:00:00Z
knb-lter-bnz.356.17,urn:node:LTER,2009-03-05T00:00:00Z
knb-lter-bnz.357.17,urn:node:LTER,2009-03-05T00:00:00Z
knb-lter-bnz.358.17,urn:node:LTER,2009-03-05T00:00:00Z
knb-lter-bnz.359.17,urn:node:LTER,2009-03-05T00:00:00Z
knb-lter-bnz.370.16,urn:node:LTER,2009-04-01T23:00:00Z
knb-lter-bnz.371.16,urn:node:LTER,2009-04-01T23:00:00Z
knb-lter-bnz.367.16,urn:node:LTER,2009-04-01T23:00:00Z
knb-lter-bnz.369.16,urn:node:LTER,2009-04-01T23:00:00Z
knb-lter-bnz.368.16,urn:node:LTER,2009-04-01T23:00:00Z
knb-lter-bnz.365.17,urn:node:LTER,2009-03-05T00:00:00Z
knb-lter-bnz.342.17,urn:node:LTER,2009-03-05T00:00:00Z
knb-lter-bnz.343.17,urn:node:LTER,2009-03-05T00:00:00Z
knb-lter-arc.10023.6,urn:node:LTER,2009-05-06T23:00:00Z
knb-lter-arc.10022.6,urn:node:LTER,2009-05-06T23:00:00Z
knb-lter-arc.10024.6,urn:node:LTER,2009-05-06T23:00:00Z
knb-lter-bnz.378.16,urn:node:LTER,2009-04-01T23:00:00Z
knb-lter-bnz.382.17,urn:node:LTER,2009-04-01T23:00:00Z
knb-lter-bnz.381.16,urn:node:LTER,2009-08-26T23:00:00Z
knb-lter-bnz.380.16,urn:node:LTER,2009-08-26T23:00:00Z
knb-lter-bnz.383.16,urn:node:LTER,2009-08-26T23:00:00Z
knb-lter-bnz.349.16,urn:node:LTER,2009-03-05T00:00:00Z
knb-lter-bnz.353.16,urn:node:LTER,2009-03-05T00:00:00Z
knb-lter-bnz.352.16,urn:node:LTER,2009-03-05T00:00:00Z
knb-lter-bnz.351.16,urn:node:LTER,2009-03-05T00:00:00Z
knb-lter-bnz.354.16,urn:node:LTER,2009-03-05T00:00:00Z
knb-lter-bnz.350.16,urn:node:LTER,2009-03-05T00:00:00Z
knb-lter-bnz.366.16,urn:node:LTER,2009-03-05T00:00:00Z
knb-lter-bnz.364.17,urn:node:LTER,2009-03-05T00:00:00Z
knb-lter-bnz.363.17,urn:node:LTER,2009-03-05T00:00:00Z
knb-lter-bnz.361.17,urn:node:LTER,2009-03-05T00:00:00Z
knb-lter-bnz.360.17,urn:node:LTER,2009-03-05T00:00:00Z
knb-lter-bnz.362.17,urn:node:LTER,2009-03-05T00:00:00Z
knb-lter-bnz.391.16,urn:node:LTER,2009-08-26T23:00:00Z
knb-lter-bnz.393.16,urn:node:LTER,2009-08-26T23:00:00Z
knb-lter-bnz.389.16,urn:node:LTER,2009-10-14T23:00:00Z
knb-lter-bnz.392.16,urn:node:LTER,2009-10-14T23:00:00Z
knb-lter-bnz.395.16,urn:node:LTER,2009-08-26T23:00:00Z
knb-lter-bnz.344.17,urn:node:LTER,2009-03-05T00:00:00Z
knb-lter-bnz.348.17,urn:node:LTER,2009-03-05T00:00:00Z
knb-lter-bnz.347.17,urn:node:LTER,2009-03-05T00:00:00Z
knb-lter-bnz.346.17,urn:node:LTER,2009-03-05T00:00:00Z
knb-lter-bnz.345.17,urn:node:LTER,2009-03-05T00:00:00Z
knb-lter-bnz.390.16,urn:node:LTER,2009-08-26T23:00:00Z
knb-lter-bnz.386.16,urn:node:LTER,2009-10-08T23:00:00Z
knb-lter-bnz.384.16,urn:node:LTER,2009-10-08T23:00:00Z
knb-lter-bnz.385.16,urn:node:LTER,2009-10-08T23:00:00Z
knb-lter-bnz.387.16,urn:node:LTER,2009-10-08T23:00:00Z
knb-lter-bnz.388.16,urn:node:LTER,2009-10-08T23:00:00Z
knb-lter-hfr.45.21,urn:node:LTER,2009-02-19T00:00:00Z
knb-lter-hfr.126.12,urn:node:LTER,2009-04-29T23:00:00Z
knb-lter-hfr.125.14,urn:node:LTER,2009-04-15T23:00:00Z
knb-lter-vcr.177.18,urn:node:LTER,2009-08-20T23:00:00Z
knb-lter-hfr.118.23,urn:node:LTER,2009-02-05T00:00:00Z
knb-lter-hfr.122.13,urn:node:LTER,2009-04-01T23:00:00Z
knb-lter-hfr.149.15,urn:node:LTER,2009-09-30T23:00:00Z
knb-lter-gce.316.19,urn:node:LTER,2009-10-16T23:00:00Z
knb-lter-hfr.90.14,urn:node:LTER,2009-04-29T23:00:00Z
knb-lter-pie.161.3,urn:node:LTER,2009-02-26T00:00:00Z
knb-lter-pie.160.3,urn:node:LTER,2009-02-26T00:00:00Z
knb-lter-hfr.142.7,urn:node:LTER,2009-04-29T23:00:00Z
knb-lter-hfr.61.15,urn:node:LTER,2009-04-29T23:00:00Z
knb-lter-hfr.157.8,urn:node:LTER,2009-12-17T00:00:00Z
knb-lter-sbc.1008.6,urn:node:LTER,2009-05-31T23:00:00Z
doi:10.6073/AA/knb-lter-fce.380.5,urn:node:LTER,2009-06-05T23:00:00Z
doi:10.6073/AA/knb-lter-fce.358.5,urn:node:LTER,2009-02-14T00:00:00Z
doi:10.6073/AA/knb-lter-fce.362.5,urn:node:LTER,2009-02-25T00:00:00Z
knb-lter-hfr.99.10,urn:node:LTER,2009-04-22T23:00:00Z
doi:10.6073/AA/knb-lter-fce.373.5,urn:node:LTER,2009-02-25T00:00:00Z
doi:10.6073/AA/knb-lter-fce.365.5,urn:node:LTER,2009-02-25T00:00:00Z
doi:10.6073/AA/knb-lter-luq.153.3,urn:node:LTER,2009-04-29T23:00:00Z
doi:10.6073/AA/knb-lter-fce.391.5,urn:node:LTER,2009-09-24T23:00:00Z
doi:10.6073/AA/knb-lter-luq.38.3,urn:node:LTER,2009-04-25T23:00:00Z
